"geo_accession"	"genetic background"	"Sex"	"age"	"issue"	"exclusion markers"	"phenotype markers"	"separation method"	"NA"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"characteristics_ch1.4"	"characteristics_ch1.5"	"characteristics_ch1.6"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"data_processing"	"platform_id"	"contact_name"	"contact_email"	"contact_phone"	"contact_laboratory"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"age:ch1"	"exclusion markers:ch1"	"genetic background:ch1"	"issue:ch1"	"phenotype markers:ch1"	"separation method:ch1"	"Sex:ch1"
"GSM3090346"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	"TCRB-"	"CD19+ IgM+"	"FACSAria"	NA	"B.IFNg.2hr.Sp#2"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"B.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"exclusion markers: TCRB-"	"phenotype markers: CD19+ IgM+"	"separation method: FACSAria"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090346/suppl/GSM3090346_EA07068_374454_MOGENE-1_0-ST-V1_B.IFNG.2HR.SP_2.CEL.gz"	"24922"	"6 Weeks Old"	"TCRB-"	"B6"	"Spleen"	"CD19+ IgM+"	"FACSAria"	"Male"
"GSM3090347"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	"TCRB-"	"CD19+ IgM+"	"FACSAria"	NA	"B.IFNg.2hr.Sp#3"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"B.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"exclusion markers: TCRB-"	"phenotype markers: CD19+ IgM+"	"separation method: FACSAria"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090347/suppl/GSM3090347_EA07068_374455_MOGENE-1_0-ST-V1_B.IFNG.2HR.SP_3.CEL.gz"	"24922"	"6 Weeks Old"	"TCRB-"	"B6"	"Spleen"	"CD19+ IgM+"	"FACSAria"	"Male"
"GSM3090348"	"B6"	"Male"	"6 Weeks Old"	"Peritoneal Cavity"	NA	"CD19+ CD43+ CD5+"	"FACSAria"	""	"B1a.IFNg.2hr.PC#2"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"B1a.IFNg.2hr.PC"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Peritoneal Cavity"	"phenotype markers: CD19+ CD43+ CD5+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090348/suppl/GSM3090348_EA07068_374451_MOGENE-1_0-ST-V1_B1A.IFNG.2HR.PC_2.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Peritoneal Cavity"	"CD19+ CD43+ CD5+"	"FACSAria"	"Male"
"GSM3090349"	"B6"	"Male"	"6 Weeks Old"	"Peritoneal Cavity"	NA	"CD19+ CD43+ CD5+"	"FACSAria"	""	"B1a.IFNg.2hr.PC#3"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"B1a.IFNg.2hr.PC"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Peritoneal Cavity"	"phenotype markers: CD19+ CD43+ CD5+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090349/suppl/GSM3090349_EA07068_374452_MOGENE-1_0-ST-V1_B1A.IFNG.2HR.PC_3.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Peritoneal Cavity"	"CD19+ CD43+ CD5+"	"FACSAria"	"Male"
"GSM3090350"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	NA	"CD11c+ MHCII+ Flt3+"	"FACSAria"	""	"DC.IFNg.2hr.Sp#1"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"DC.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"phenotype markers: CD11c+ MHCII+ Flt3+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090350/suppl/GSM3090350_EA07068_374465_MOGENE-1_0-ST-V1_DC.IFNG.2HR.SP_1.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Spleen"	"CD11c+ MHCII+ Flt3+"	"FACSAria"	"Male"
"GSM3090351"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	NA	"CD11c+ MHCII+ Flt3+"	"FACSAria"	""	"DC.IFNg.2hr.Sp#2"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"DC.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"phenotype markers: CD11c+ MHCII+ Flt3+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090351/suppl/GSM3090351_EA07068_374466_MOGENE-1_0-ST-V1_DC.IFNG.2HR.SP_2.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Spleen"	"CD11c+ MHCII+ Flt3+"	"FACSAria"	"Male"
"GSM3090352"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	NA	"Ly6G+"	"FACSAria"	""	"GN.IFNg.2hr.Sp#1"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"GN.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"phenotype markers: Ly6G+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090352/suppl/GSM3090352_EA07068_374462_MOGENE-1_0-ST-V1_GN.IFNG.2HR.SP_1.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Spleen"	"Ly6G+"	"FACSAria"	"Male"
"GSM3090353"	"B6"	"Male"	"6 Weeks Old"	"Spleen"	NA	"Ly6G+"	"FACSAria"	""	"GN.IFNg.2hr.Sp#2"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"GN.IFNg.2hr.Sp"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Spleen"	"phenotype markers: Ly6G+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090353/suppl/GSM3090353_EA07068_374463_MOGENE-1_0-ST-V1_GN.IFNG.2HR.SP_2.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Spleen"	"Ly6G+"	"FACSAria"	"Male"
"GSM3090354"	"B6"	"Male"	"6 Weeks Old"	"Peritoneal Cavity"	NA	"F4/80+ ICAM2+"	"FACSAria"	""	"MF.IFNg.2hr.PC#2"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"MF.IFNg.2hr.PC"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Peritoneal Cavity"	"phenotype markers: F4/80+ ICAM2+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090354/suppl/GSM3090354_EA07068_374448_MOGENE-1_0-ST-V1_MF.IFNG.2HR.PC_2.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Peritoneal Cavity"	"F4/80+ ICAM2+"	"FACSAria"	"Male"
"GSM3090355"	"B6"	"Male"	"6 Weeks Old"	"Peritoneal Cavity"	NA	"F4/80+ ICAM2+"	"FACSAria"	""	"MF.IFNg.2hr.PC#3"	"Public on Apr 10 2018"	"Apr 09 2018"	"Apr 10 2018"	"RNA"	"1"	"MF.IFNg.2hr.PC"	"Mus musculus"	"genetic background: B6"	"Sex: Male"	"age: 6 Weeks Old"	"issue: Peritoneal Cavity"	"phenotype markers: F4/80+ ICAM2+"	"separation method: FACSAria"	""	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"CBDM,,Lab"	"cbdm@hms.harvard.edu"	"617-432-7747"	"CBDM"	"Microbiology and Immunobiology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02215"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3090nnn/GSM3090355/suppl/GSM3090355_EA07068_374449_MOGENE-1_0-ST-V1_MF.IFNG.2HR.PC_3.CEL.gz"	"24922"	"6 Weeks Old"	NA	"B6"	"Peritoneal Cavity"	"F4/80+ ICAM2+"	"FACSAria"	"Male"
