SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GSM920642	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#1	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
GSM920643	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#2	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
GSM920644	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#3	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
GSM777019	GSE15907	B cells	B lineage		B.Fo.LN#1	Mouse	C57BL/6J	Male	8 WEEKS	Subcutaneous LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.LN#1, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
GSM777020	GSE15907	B cells	B lineage		B.Fo.LN#2	Mouse	C57BL/6J	Male	9 WEEKS	Subcutaneous LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.LN#2, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
GSM777021	GSE15907	B cells	B lineage		B.Fo.MLN#1	Mouse	C57BL/6J	Male	8 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#1, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
GSM777022	GSE15907	B cells	B lineage		B.Fo.MLN#2	Mouse	C57BL/6J	Male	9 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#2, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
GSM777023	GSE15907	B cells	B lineage		B.Fo.MLN#3	Mouse	C57BL/6J	Male	9 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#3, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
GSM538198	GSE15907	B cells	B lineage		B.Fo.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#1, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
GSM538199	GSE15907	B cells	B lineage		B.Fo.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#2, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
