ImmGenName	SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
MF.IFNa.2hr.PC_1	GSM2997670	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNa.2hr.PC_1	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		8000 U IFNg	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.IFNa.2hr.PC_2	GSM2997671	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNa.2hr.PC_2	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		8000 U IFNg	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.IFNa.2hr.PC_3	GSM2997672	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNa.2hr.PC_3	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		10000 U IFNa	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.IFNa.2hr.PC_4	GSM2997673	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNa.2hr.PC_4	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		10000 U IFNa	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.IFNg.2hr.PC_1	GSM2997674	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNg.2hr.PC_1	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		10000 U IFNa	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.IFNg.2hr.PC_2	GSM2997675	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.IFNg.2hr.PC_2	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		10000 U IFNa	Peritoneal cavity macrophages	F4/80+ ICAM2+	FACSAria
MF.PC.SPF_1	GSM2997676	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.PC.SPF_1	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		No treatment	Peritoneal cavity macrophages	F4/80+	FACSAria
MF.PC.SPF_2	GSM2997677	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.PC.SPF_2	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		No treatment	Peritoneal cavity macrophages	F4/80+	FACSAria
MF.PC.SPF_3	GSM2997678	GSE110549	Macrophages	Myeloid	F480_ICAM2 Macrophage	MF.PC.SPF_3	Mouse	C57BL/6	Male	6 WEEKS	Peritoneal Cavity		No treatment	Peritoneal cavity macrophages	F4/80+	FACSAria
B.IFNg.2hr.Sp#2	GSM3090346	GSE112876	B cells	B lineage		B.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			CD19+ IgM+	FACSAria
B.IFNg.2hr.Sp#3	GSM3090347	GSE112876	B cells	B lineage		B.IFNg.2hr.Sp#3_dup	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			CD19+ IgM+	FACSAria
B1a.IFNg.2hr.PC#2	GSM3090348	GSE112876	B cells	B lineage		B1a.IFNg.2hr.PC#2	Mouse	B6	Male	6 WEEKS	Peritoneal Cavity	NA			CD19+ CD43+ CD5+	FACSAria
B1a.IFNg.2hr.PC#3	GSM3090349	GSE112876	B cells	B lineage		B1a.IFNg.2hr.PC#3	Mouse	B6	Male	6 WEEKS	Peritoneal Cavity	NA			CD19+ CD43+ CD5+	FACSAria
DC.IFNg.2hr.Sp#1	GSM3090350	GSE112876	Dendritic Cells	Myeloid		DC.IFNg.2hr.Sp#1	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD11c+ MHCII+ Flt3+	FACSAria
DC.IFNg.2hr.Sp#2	GSM3090351	GSE112876	Dendritic Cells	Myeloid		DC.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD11c+ MHCII+ Flt3+	FACSAria
GN.IFNg.2hr.Sp#1	GSM3090352	GSE112876	Granulocytes	Myeloid		GN.IFNg.2hr.Sp#1	Mouse	B6	Male	6 WEEKS	Spleen	NA			Ly6G+	FACSAria
GN.IFNg.2hr.Sp#2	GSM3090353	GSE112876	Granulocytes	Myeloid		GN.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			Ly6G+	FACSAria
MF.IFNg.2hr.PC#2	GSM3090354	GSE112876	Macrophages	Myeloid		MF.IFNg.2hr.PC#2	Mouse	B6	Male	6 WEEKS	Peritoneal Cavity	NA			F4/80+ ICAM2+	FACSAria
MF.IFNg.2hr.PC#3	GSM3090355	GSE112876	Macrophages	Myeloid		MF.IFNg.2hr.PC#3	Mouse	B6	Male	6 WEEKS	Peritoneal Cavity	NA			F4/80+ ICAM2+	FACSAria
NK.IFNg.2hr.Sp#2	GSM3090356	GSE112876	NK cells	T lineage		NK.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			NK1.1+	FACSAria
NK.IFNg.2hr.Sp#3	GSM3090357	GSE112876	NK cells	T lineage		NK.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			NK1.1+	FACSAria
NKT.IFNg.2hr.Sp#1	GSM3090358	GSE112876	NKT cells	T lineage		NKT.IFNg.2hr.Sp#1	Mouse	B6	Male	6 WEEKS	Spleen	NA			NK1.1+ TCRB+	FACSAria
NKT.IFNg.2hr.Sp#2	GSM3090359	GSE112876	NKT cells	T lineage		NKT.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			NK1.1+ TCRB+	FACSAria
T4.IFNg.2hr.Sp#2	GSM3090360	GSE112876	CD4 T cells	T lineage		T4.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD4+ TCRB+	FACSAria
T4.IFNg.2hr.Sp#3	GSM3090361	GSE112876	CD4 T cells	T lineage		T4.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD4+ TCRB+	FACSAria
T8.IFNg.2hr.Sp#2	GSM3090362	GSE112876	CD8 T cells	T lineage		T8.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD8+ TCRB+	FACSAria
T8.IFNg.2hr.Sp#3	GSM3090363	GSE112876	CD8 T cells	T lineage		T8.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD8+ TCRB+	FACSAria
Tgd.IFNg.2hr.Sp#2	GSM3090364	GSE112876	gd T cells	T lineage		Tgd.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			TCRgd+	FACSAria
Tgd.IFNg.2hr.Sp#3	GSM3090365	GSE112876	gd T cells	T lineage		Tgd.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	TCRB-			TCRgd+	FACSAria
Treg.IFNg.2hr.Sp#2	GSM3090366	GSE112876	Treg cells	T lineage		Treg.IFNg.2hr.Sp#2	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD4+ TCRB+ CD25+	FACSAria
Treg.IFNg.2hr.Sp#3	GSM3090367	GSE112876	Treg cells	T lineage		Treg.IFNg.2hr.Sp#3	Mouse	B6	Male	6 WEEKS	Spleen	NA			CD4+ TCRB+ CD25+	FACSAria
ABD.TR.14w.B6#1	GSM920642	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#1	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
ABD.TR.14w.B6#2	GSM920643	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#2	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
ABD.TR.14w.B6#3	GSM920644	GSE15907	Treg cells	T lineage		ABD.TR.14w.B6#3	Mouse	C57BL6	Male	14 WEEKS	Epi Fat	CD11b, CD11c, B220, CD19, CD8		CCD11b- CD11c- B220- CD19- CD8- CD3+CD4+CD25+	CD3+ CD4+ CD25+	MoFlo double-sorting
B.Fo.LN#1	GSM777019	GSE15907	B cells	B lineage		B.Fo.LN#1	Mouse	C57BL/6J	Male	8 WEEKS	Subcutaneous LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.LN#1, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
B.Fo.LN#2	GSM777020	GSE15907	B cells	B lineage		B.Fo.LN#2	Mouse	C57BL/6J	Male	9 WEEKS	Subcutaneous LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.LN#2, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
B.Fo.MLN#1	GSM777021	GSE15907	B cells	B lineage		B.Fo.MLN#1	Mouse	C57BL/6J	Male	8 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#1, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
B.Fo.MLN#2	GSM777022	GSE15907	B cells	B lineage		B.Fo.MLN#2	Mouse	C57BL/6J	Male	9 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#2, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
B.Fo.MLN#3	GSM777023	GSE15907	B cells	B lineage		B.Fo.MLN#3	Mouse	C57BL/6J	Male	9 WEEKS	Mesenteric LN	CD3 TER119 GR1 Ly6c AA4.1 CD24 IgM CD43		B.Fo.MLN#3, CD19+CD45R+CD23+CD21/35+	CD19+ CD45R+ CD23+ CD21/35+	dissection/trimming
B.Fo.PC#1	GSM538198	GSE15907	B cells	B lineage		B.Fo.PC#1	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#1, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
B.Fo.PC#2	GSM538199	GSE15907	B cells	B lineage		B.Fo.PC#2	Mouse	C57BL/6J	Male	7 WEEKS	Peritoneal Cavity	CD3 Ly6c Ter119 Gr-1		B.Fo.PC#2, Fo-type, peritoneal cavity	IgD+ IgM+ CD19+ CD43- CD5- CD23+	dissection/trimming
