"geo_accession"	"age"	"exclusion markers"	"genetic background"	"phenotype markers"	"separation method"	"Sex"	"NA"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"characteristics_ch1.4"	"characteristics_ch1.5"	"treatment_protocol_ch1"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"description"	"data_processing"	"platform_id"	"contact_name"	"contact_laboratory"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"relation"	"relation.1"	"relation.2"	"relation.3"	"relation.4"	"age:ch1"	"exclusion markers:ch1"	"genetic background:ch1"	"phenotype markers:ch1"	"separation method:ch1"	"Sex:ch1"
"GSM399362"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"	NA	"T.4+8int.Th#1"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8int TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4+8int.Th#1, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399362/suppl/GSM399362_EA07068_56648_MoGene_T.4+8int.Th_#1.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"
"GSM399363"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"	NA	"T.4+8int.Th#2"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8int TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4+8int.Th#2, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399363/suppl/GSM399363_EA07068_56649_MoGene_T.4+8int.Th_#2.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"
"GSM399364"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"	NA	"T.4+8int.Th#4"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8int TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4+8int.Th#3, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399364/suppl/GSM399364_EA07068_56650_MoGene_T.4+8int.Th_#4.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8int TCRhi"	"dissection/trimming"	"male"
"GSM399365"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- GFP+ 25+"	"dissection/trimming"	"male"	NA	"T.4FP3+25+.Sp#2"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8- GFP+ 25+"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Dynabeads/Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4FP3+25+.Sp#2, Spleen CD25+ Foxp3+ Tregs"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399365/suppl/GSM399365_EA07068_55678_MoGene_T.4FP3+25+.Sp_#2.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- GFP+ 25+"	"dissection/trimming"	"male"
"GSM399366"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- GFP+ 25+"	"dissection/trimming"	"male"	NA	"T.4FP3+25+.Sp#3"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8- GFP+ 25+"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Dynabeads/Flowsorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4FP3+25+.Sp#3, Spleen CD25+ Foxp3+ Tregs"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399366/suppl/GSM399366_EA07068_55679_MoGene_T.4FP3+25+.Sp_#3.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- GFP+ 25+"	"dissection/trimming"	"male"
"GSM399367"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"	NA	"T.4int8+.Th#1"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4int 8+ TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4int8+.Th#1, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399367/suppl/GSM399367_EA07068_56651_MoGene_T.4int8+.Th_#1.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"
"GSM399368"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"	NA	"T.4int8+.Th#2"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4int 8+ TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4int8+.Th#2, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399368/suppl/GSM399368_EA07068_56652_MoGene_T.4int8+.Th_#2.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"
"GSM399369"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"	NA	"T.4int8+.Th#3"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4int 8+ TCRhi"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass Slide  Flow Sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4int8+.Th#3, Positive Selection, Intermediate"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399369/suppl/GSM399369_EA07068_58863_MoGene_T.4int8+.Th_#3.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4int 8+ TCRhi"	"dissection/trimming"	"male"
"GSM399370"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- TCRhi 24-/lo"	"dissection/trimming"	"male"	NA	"T.4SP24-.Th#1"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8- TCRhi 24-/lo"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass slide teasing  Flow sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4SP24-.Th#1, CD4 Single-Positive, Mature"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399370/suppl/GSM399370_EA07068_52774_MoGene_T.4SP24-.Th_#1.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- TCRhi 24-/lo"	"dissection/trimming"	"male"
"GSM399371"	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- TCRhi 24-/lo"	"dissection/trimming"	"male"	NA	"T.4SP24-.Th#2"	"Public on May 02 2009"	"Apr 30 2009"	"May 24 2016"	"RNA"	"1"	"thymus"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: 11b- 11c- 19- 49b- Gr1- TER119-"	"genetic background: C57BL/6J"	"phenotype markers: 4+ 8- TCRhi 24-/lo"	"separation method: dissection/trimming"	"Sex: male"	""	"total RNA"	"Glass slide teasing  Flow sorting"	"Biotin"	"Affy GeneChip WT cDNA Synthesis kit/cRNA Cleanup kit"	"10090"	"Affy 1.0 ST Hyb Kit"	"Affymetrix GeneChip Scanner"	"T.4SP24-.Th#2, CD4 Single-Positive, Mature"	"The datasets were pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM399nnn/GSM399371/suppl/GSM399371_EA07068_52775_MoGene_T.4SP24-.Th_#2.cel.gz"	"24922"	""	""	""	""	""	"6 weeks"	"11b- 11c- 19- 49b- Gr1- TER119-"	"C57BL/6J"	"4+ 8- TCRhi 24-/lo"	"dissection/trimming"	"male"
