SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GSM1282081	GSE37448	B cells	B lineage		B.Mem.Sp.v2#1	Mouse	C57BL/6J	Male	15 WEEKS	Spleen	CD3, Ter119, Ly6c, CD11b, GR-1	NA		CD19+,CD24+,CD23+,Kappa+,Lambda+,AA4.1-,IgM-,IgD-	Dissection / Trimming
GSM1282082	GSE37448	B cells	B lineage		B.Mem.Sp.v2#3	Mouse	C57BL/6J	Male	15 WEEKS	Spleen	CD3, Ter119, Ly6c, CD11b, GR-1	NA		CD19+CD24+CD23+Kappa+Lambda+AA4.1-IgM-IgD-	Dissection / Trimming
GSM1282083	GSE37448	B cells	B lineage		B1a.Sp.v2#6	Mouse	NA	Male	9 WEEKS	Spleen	NULL	NA		CD4+ CD8+ CD69+	FACSAria
GSM2112407	GSE37448	B cells	B lineage		BA.Bl#1	Mouse	C57/Bl6	Male	6 WEEKS	Blood	CD4 CD8 C19 NK1.1	NA		CD49b+ FcER1a+	FACSAria
GSM2112408	GSE37448	B cells	B lineage		BA.Bl#2	Mouse	C57/Bl6	Male	6 WEEKS	Blood	CD117- CD4- CD8- CD19- NK1.1-	NA		FcER1a+ CD49b+	FACSAria
GSM2112409	GSE37448	B cells	B lineage		BA.Bl#3	Mouse	C57/Bl6	Male	6 WEEKS	Blood	CD117- CD4- CD8- CD19- NK1.1-	NA		FcER1a+ CD49b+	FACSAria
GSM2112410	GSE37448	B cells	B lineage		BA.Sp#1	Mouse	C57	Male	6 WEEKS	Spleen	CD3, CD19, CD11c	NA		CD49b+ FcER1a+	FACSAria
GSM2112411	GSE37448	B cells	B lineage		BA.Sp#3	Mouse	C57	Male	6 WEEKS	Blood	CD3, CD19, CD11c	NA		CD49b+ FcER1a+	FACSAria
GSM2112412	GSE37448	B cells	B lineage		BA.Sp#4	Mouse	C57/Bl6	Male	6 WEEKS	Spleen	CD4, CD8, CD19, NK1.1, GR1	NA		FcER1a+ CD49b+	FACSAria
GSM1358373	GSE37448	CD4 T cells	T lineage		CD4.1h.LN#1	Mouse	C57BL/6	Male	6 WEEKS	Lymph Node	CD11c/19/25/49b/Gr1/Ter119-	Cultured with antiCD3 CD28 beads and collected at various time points		CD4+ CD8- TCR+ CD25- CD62Lhi CD44 Lo	Dissection / Trimming
GSM1358374	GSE37448	CD4 T cells	T lineage		CD4.1h.LN#2	Mouse	C57BL/6	Male	6 WEEKS	Lymph Node	CD11c/19/25/49b/Gr1/Ter119-	Cultured with antiCD3 CD28 beads and collected at various time points		CD4+ CD8- TCR+ CD25- CD62Lhi CD44 Lo	Dissection / Trimming
GSM1358375	GSE37448	CD4 T cells	T lineage		CD4.24h.LN#1	Mouse	C57BL/6	Male	6 WEEKS	Lymph Node	CD11c/19/25/49b/Gr1/Ter119-	Cultured with antiCD3 CD28 beads and collected at various time points		CD4+ CD8- TCR+ CD25- CD62Lhi CD44 Lo	Dissection / Trimming
GSM1358376	GSE37448	CD4 T cells	T lineage		CD4.24h.LN#2	Mouse	C57BL/6	Male	6 WEEKS	Lymph Node	CD11c/19/25/49b/Gr1/Ter119-	Cultured with antiCD3 CD28 beads and collected at various time points		CD4+ CD8- TCR+ CD25- CD62Lhi CD44 Lo	Dissection / Trimming
