SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	CellType	Phenotype_Marker	Separation Method
GSM1471919	GSE60336	Granulocytes	Myeloid		GN.129#1	Mouse	129S1/SvImJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471920	GSE60336	Granulocytes	Myeloid		GN.129#2	Mouse	129S1/SvImJ	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471921	GSE60336	Granulocytes	Myeloid		GN.AJ#1	Mouse	A/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471922	GSE60336	Granulocytes	Myeloid		GN.AJ#2	Mouse	A/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471923	GSE60336	Granulocytes	Myeloid		GN.AKR#1	Mouse	AKR/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471924	GSE60336	Granulocytes	Myeloid		GN.AKR#2	Mouse	AKR/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471925	GSE60336	Granulocytes	Myeloid		GN.B10#1	Mouse	C57BL/10J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471926	GSE60336	Granulocytes	Myeloid		GN.B10#3	Mouse	C57BL/10J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471927	GSE60336	Granulocytes	Myeloid		GN.B6#1	Mouse	C57BL/6J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471928	GSE60336	Granulocytes	Myeloid		GN.B6#2	Mouse	C57BL/6J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471929	GSE60336	Granulocytes	Myeloid		GN.B6#3	Mouse	C57BL/6J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471930	GSE60336	Granulocytes	Myeloid		GN.B6#4	Mouse	C57BL/6J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471931	GSE60336	Granulocytes	Myeloid		GN.B6#5	Mouse	C57BL/6J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
GSM1471932	GSE60336	Granulocytes	Myeloid		GN.Balb#1	Mouse	BTBR T+ tf/J	Male	6 WEEKS	Bone Marrow				CD11b+ Ly6G+	Bone Marrow Extract
