"geo_accession"	"age"	"exclusion markers"	"genetic background"	"phenotype markers"	"separation method"	"Sex"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"characteristics_ch1.4"	"characteristics_ch1.5"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"data_processing"	"platform_id"	"contact_name"	"contact_laboratory"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_state"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"age:ch1"	"exclusion markers:ch1"	"genetic background:ch1"	"phenotype markers:ch1"	"separation method:ch1"	"Sex:ch1"
"GSM1472000"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" 129S1/SvImJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.129#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: 129S1/SvImJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472000/suppl/GSM1472000_EA07068_203095_MOGENE-1_0-ST-V1_T4.129_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"129S1/SvImJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472001"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" 129S1/SvImJ"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.129#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: 129S1/SvImJ"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472001/suppl/GSM1472001_EA07068_203096_MOGENE-1_0-ST-V1_T4.129_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"129S1/SvImJ"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472002"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" A/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.AJ#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: A/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472002/suppl/GSM1472002_EA07068_203097_MOGENE-1_0-ST-V1_T4.AJ_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"A/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472003"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" A/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.AJ#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: A/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472003/suppl/GSM1472003_EA07068_203098_MOGENE-1_0-ST-V1_T4.AJ_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"A/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472004"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" AKR/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.AKR#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: AKR/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472004/suppl/GSM1472004_EA07068_203099_MOGENE-1_0-ST-V1_T4.AKR_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"AKR/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472005"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" AKR/J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.AKR#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: AKR/J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472005/suppl/GSM1472005_EA07068_203100_MOGENE-1_0-ST-V1_T4.AKR_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"AKR/J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472006"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/10J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B10#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/10J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472006/suppl/GSM1472006_EA07068_203107_MOGENE-1_0-ST-V1_T4.C5710_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/10J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472007"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/10J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B10#3"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/10J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472007/suppl/GSM1472007_EA07068_203108_MOGENE-1_0-ST-V1_T4.C5710_3.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/10J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472008"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/6J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B6#1"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/6J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472008/suppl/GSM1472008_EA07068_203020_MOGENE-1_0-ST-V1_T4.B6_1.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/6J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
"GSM1472009"	" 6 weeks"	" CD8/11c/19/25/49b/Gr1/Ter119-"	" C57BL/6J"	" CD3+CD4+CD62L+"	" FACs Aria"	" Male"	"T4.B6#2"	"Public on Dec 31 2014"	"Aug 12 2014"	"Dec 31 2014"	"RNA"	"1"	"Spleen"	"Mus musculus"	"age: 6 weeks"	"exclusion markers: CD8/11c/19/25/49b/Gr1/Ter119-"	"genetic background: C57BL/6J"	"phenotype markers: CD3+CD4+CD62L+"	"separation method: FACs Aria"	"Sex: Male"	"total RNA"	"TriZol"	"Biotin"	"Affymetrix GeneChip WT Terminal Labeling and Controls Kit"	"10090"	"Ambion WT Expression Kit"	"Affymetrix GeneChip Scanner"	"The datasets was pre-filtered to keep only those probesets for which a gene symbol could be found in the Affymetrix annotation. CEL files were normalized using Affymetrix Power Tools on the predefined probeset ID list mentioned above, and using the standard RMA workflow (background adjustment, quantile normalization, median polish probeset summarization). Output on 2^ scale."	"GPL6246"	"Liang,,Yang"	"CBDM"	"Pathology"	"Harvard Medical School"	"77 Avenue Louis Pasteur"	"Boston"	"MA"	"02115"	"USA"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1472nnn/GSM1472009/suppl/GSM1472009_EA07068_203021_MOGENE-1_0-ST-V1_T4.B6_2.CEL.gz"	"24922"	"6 weeks"	"CD8/11c/19/25/49b/Gr1/Ter119-"	"C57BL/6J"	"CD3+CD4+CD62L+"	"FACs Aria"	"Male"
