SampleID	Study	MajorCellType	Major Lineage	Cell Family	GEOName	Organism	GeneticBackground	Sex	AGE	Tissue Source	Exclusion Marker	Treatment	GeneticKOs	CellType	CellType_Treatment_GeneticKO	Phenotype_Marker	Separation Method
GSM2644243	GSE75203	B cells	B lineage		B.B10Q.IFNa.2hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	B Cell	BCell_2hr10000uIFNa_WT	CD19+	FACSAria
GSM2644246	GSE75203	B cells	B lineage		B.B10Q.IFNa.2hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 2hr after sc treatment with 10000u IFNa	WT	B Cell	BCell_2hr10000uIFNa_WT	CD19+	FACSAria
GSM2644252	GSE75203	B cells	B lineage		B.B10Q.IFNa.5hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	B Cell	BCell_5hr10000uIFNa_WT	CD19+	FACSAria
GSM2644255	GSE75203	B cells	B lineage		B.B10Q.IFNa.5hr.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 5hr after sc treatment with 10000u IFNa	WT	B Cell	BCell_5hr10000uIFNa_WT	CD19+	FACSAria
GSM2644251	GSE75203	B cells	B lineage		B.B10Q.veh.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	CD8-	Sacrifice at 2hr after sc treatment with vehicle	WT	CD4+ T Cell	CD4TCell_2hrvehicle_WT	TCRB+ CD4+	FACSAria
GSM2644258	GSE75203	B cells	B lineage		B.B10Q.veh.Sp#2	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 5hr after sc treatment with vehicle	WT	B Cell	BCell_5hrvehicle_WT	CD19+	FACSAria
GSM2644249	GSE75203	B cells	B lineage		B.B10Q.veh2hr.Sp#1	Mouse	B10.Q/J	Male	7 WEEKS	Spleen	TCRB-	Sacrifice at 2hr after sc treatment with vehicle	WT	B Cell	BCell_2hrvehicle_WT	CD19+	FACSAria
GSM1945086	GSE75203	B cells	B lineage		B.IFNar1KO.IFNa.2hr.Sp#1	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Spleen	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	B Cell	BCell_2hr10000uIFNa_IFNar1KO	CD19+ IgM+	FACSAria
GSM1945090	GSE75203	B cells	B lineage		B.IFNar1KO.IFNa.2hr.Sp#2	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Spleen	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	B Cell	BCell_2hr10000uIFNa_IFNar1KO	CD19+ IgM+	FACSAria
GSM1945088	GSE75203	B cells	B lineage		B.IFNar1KO.Sp#1	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Spleen	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	B Cell	BCell_2hr10000uIFNa_IFNar1KO	CD19+ IgM+	FACSAria
GSM1945092	GSE75203	B cells	B lineage		B.IFNar1KO.Sp#2	Mouse	B6.129S2-Ifnar1tm1Agt/Mmjax	Male	6 WEEKS	Spleen	--	Sacrifice at 2hr after sc treatment with 10000u IFNa	IFNar1KO	B Cell	BCell_2hr10000uIFNa_IFNar1KO	CD19+ IgM+	FACSAria
