"SampleID"	"PatientID"	"CellType"
"GSE103224-GSM2758471-PJ016_Tumor"	"GSE103224-GSM2758471-PJ016"	"Tumor"
"GSE103224-GSM2758472-PJ017_Myeloid"	"GSE103224-GSM2758472-PJ017"	"Myeloid"
"GSE103224-GSM2758472-PJ017_T cells"	"GSE103224-GSM2758472-PJ017"	"T cells"
"GSE103224-GSM2758472-PJ017_Tumor"	"GSE103224-GSM2758472-PJ017"	"Tumor"
"GSE103224-GSM2758473-PJ018_Myeloid"	"GSE103224-GSM2758473-PJ018"	"Myeloid"
"GSE103224-GSM2758473-PJ018_Stroma"	"GSE103224-GSM2758473-PJ018"	"Stroma"
"GSE103224-GSM2758473-PJ018_Tumor"	"GSE103224-GSM2758473-PJ018"	"Tumor"
"GSE103224-GSM2758474-PJ025-part-1_Stroma"	"GSE103224-GSM2758474-PJ025-part-1"	"Stroma"
"GSE103224-GSM2758474-PJ025-part-1_Tumor"	"GSE103224-GSM2758474-PJ025-part-1"	"Tumor"
"GSE103224-GSM2758474-PJ025-part-2_Myeloid"	"GSE103224-GSM2758474-PJ025-part-2"	"Myeloid"
"GSE103224-GSM2758474-PJ025-part-2_Stroma"	"GSE103224-GSM2758474-PJ025-part-2"	"Stroma"
"GSE103224-GSM2758474-PJ025-part-2_Tumor"	"GSE103224-GSM2758474-PJ025-part-2"	"Tumor"
"GSE103224-GSM2758474-PJ030-part-2_Myeloid"	"GSE103224-GSM2758474-PJ030-part-2"	"Myeloid"
"GSE103224-GSM2758474-PJ030-part-2_Stroma"	"GSE103224-GSM2758474-PJ030-part-2"	"Stroma"
"GSE103224-GSM2758474-PJ030-part-2_Tumor"	"GSE103224-GSM2758474-PJ030-part-2"	"Tumor"
"GSE103224-GSM2758475-PJ030-part1_Myeloid"	"GSE103224-GSM2758475-PJ030-part1"	"Myeloid"
"GSE103224-GSM2758475-PJ030-part1_Stroma"	"GSE103224-GSM2758475-PJ030-part1"	"Stroma"
"GSE103224-GSM2758475-PJ030-part1_Tumor"	"GSE103224-GSM2758475-PJ030-part1"	"Tumor"
"GSE103224-GSM2758476-PJ032_Myeloid"	"GSE103224-GSM2758476-PJ032"	"Myeloid"
"GSE103224-GSM2758476-PJ032_Tumor"	"GSE103224-GSM2758476-PJ032"	"Tumor"
"GSE103224-GSM2758477-PJ035_Myeloid"	"GSE103224-GSM2758477-PJ035"	"Myeloid"
"GSE103224-GSM2758477-PJ035_Stroma"	"GSE103224-GSM2758477-PJ035"	"Stroma"
"GSE103224-GSM2758477-PJ035_Tumor"	"GSE103224-GSM2758477-PJ035"	"Tumor"
"GSE103224-GSM2940098-PJ048_Stroma"	"GSE103224-GSM2940098-PJ048"	"Stroma"
"GSE103224-GSM2940098-PJ048_Tumor"	"GSE103224-GSM2940098-PJ048"	"Tumor"
