"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"BCH1031_Tumor_0"	"BCH1031"	"Tumor"	"0"
"BCH1031_Tumor_2"	"BCH1031"	"Tumor"	"2"
"BCH1031_Tumor_16"	"BCH1031"	"Tumor"	"16"
"BCH1031_Tumor_20"	"BCH1031"	"Tumor"	"20"
"BCH1205_Tumor_13"	"BCH1205"	"Tumor"	"13"
"BCH807_Stroma_1"	"BCH807"	"Stroma"	"1"
"BCH807_Tumor_6"	"BCH807"	"Tumor"	"6"
"BCH807_Tumor_22"	"BCH807"	"Tumor"	"22"
"BCH825_Tumor_0"	"BCH825"	"Tumor"	"0"
"BCH825_Tumor_2"	"BCH825"	"Tumor"	"2"
"BCH825_Tumor_5"	"BCH825"	"Tumor"	"5"
"BCH825_Tumor_7"	"BCH825"	"Tumor"	"7"
"DMB006_Tumor_0"	"DMB006"	"Tumor"	"0"
"DMB006_Tumor_2"	"DMB006"	"Tumor"	"2"
"DMB006_Tumor_20"	"DMB006"	"Tumor"	"20"
"Icb1299_Tumor_7"	"Icb1299"	"Tumor"	"7"
"Icb1572_Stroma_26"	"Icb1572"	"Stroma"	"26"
"Med114FH_Tumor_7"	"Med114FH"	"Tumor"	"7"
"Med2112FH_Tumor_24"	"Med2112FH"	"Tumor"	"24"
"Med211FH_Tumor_7"	"Med211FH"	"Tumor"	"7"
"Med211FH_Tumor_24"	"Med211FH"	"Tumor"	"24"
"Med2312FH_Tumor_0"	"Med2312FH"	"Tumor"	"0"
"Med2312FH_Tumor_2"	"Med2312FH"	"Tumor"	"2"
"Med2312FH_Tumor_27"	"Med2312FH"	"Tumor"	"27"
"Med411FH_Tumor_7"	"Med411FH"	"Tumor"	"7"
"MUV11_Tumor_2"	"MUV11"	"Tumor"	"2"
"MUV11_Tumor_4"	"MUV11"	"Tumor"	"4"
"MUV11_Tumor_5"	"MUV11"	"Tumor"	"5"
"MUV11_Tumor_7"	"MUV11"	"Tumor"	"7"
"MUV11_Tumor_12"	"MUV11"	"Tumor"	"12"
"MUV11_Tumor_24"	"MUV11"	"Tumor"	"24"
"MUV19_Tumor_0"	"MUV19"	"Tumor"	"0"
"MUV19_Tumor_2"	"MUV19"	"Tumor"	"2"
"MUV19_Tumor_12"	"MUV19"	"Tumor"	"12"
"MUV19_Tumor_16"	"MUV19"	"Tumor"	"16"
"MUV19_Tumor_20"	"MUV19"	"Tumor"	"20"
"MUV27_Tumor_0"	"MUV27"	"Tumor"	"0"
"MUV27_Tumor_2"	"MUV27"	"Tumor"	"2"
"MUV27_Tumor_18"	"MUV27"	"Tumor"	"18"
