"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"GBM27_Myeloid_8"	"GBM27"	"Myeloid"	"8"
"GBM27_Myeloid_13"	"GBM27"	"Myeloid"	"13"
"GBM27_Tumor_0"	"GBM27"	"Tumor"	"0"
"GBM27_Tumor_1"	"GBM27"	"Tumor"	"1"
"GBM27_Tumor_2"	"GBM27"	"Tumor"	"2"
"GBM27_Tumor_3"	"GBM27"	"Tumor"	"3"
"GBM27_Tumor_4"	"GBM27"	"Tumor"	"4"
"GBM27_Tumor_5"	"GBM27"	"Tumor"	"5"
"GBM27_Tumor_6"	"GBM27"	"Tumor"	"6"
"GBM27_Tumor_7"	"GBM27"	"Tumor"	"7"
"GBM27_Tumor_9"	"GBM27"	"Tumor"	"9"
"GBM27_Tumor_10"	"GBM27"	"Tumor"	"10"
"GBM27_Tumor_12"	"GBM27"	"Tumor"	"12"
"GBM27_Tumor_13"	"GBM27"	"Tumor"	"13"
"GBM27_Tumor_14"	"GBM27"	"Tumor"	"14"
"GBM27_Tumor_15"	"GBM27"	"Tumor"	"15"
"GBM28_Myeloid_8"	"GBM28"	"Myeloid"	"8"
"GBM28_Myeloid_13"	"GBM28"	"Myeloid"	"13"
"GBM28_Stroma_0"	"GBM28"	"Stroma"	"0"
"GBM28_Stroma_2"	"GBM28"	"Stroma"	"2"
"GBM28_Stroma_11"	"GBM28"	"Stroma"	"11"
"GBM28_Stroma_12"	"GBM28"	"Stroma"	"12"
"GBM28_Stroma_15"	"GBM28"	"Stroma"	"15"
"GBM28_Tumor_0"	"GBM28"	"Tumor"	"0"
"GBM28_Tumor_1"	"GBM28"	"Tumor"	"1"
"GBM28_Tumor_2"	"GBM28"	"Tumor"	"2"
"GBM28_Tumor_3"	"GBM28"	"Tumor"	"3"
"GBM28_Tumor_4"	"GBM28"	"Tumor"	"4"
"GBM28_Tumor_5"	"GBM28"	"Tumor"	"5"
"GBM28_Tumor_6"	"GBM28"	"Tumor"	"6"
"GBM28_Tumor_7"	"GBM28"	"Tumor"	"7"
"GBM28_Tumor_9"	"GBM28"	"Tumor"	"9"
"GBM28_Tumor_10"	"GBM28"	"Tumor"	"10"
"GBM28_Tumor_14"	"GBM28"	"Tumor"	"14"
"GBM29_Myeloid_8"	"GBM29"	"Myeloid"	"8"
"GBM29_Myeloid_13"	"GBM29"	"Myeloid"	"13"
"GBM29_Stroma_2"	"GBM29"	"Stroma"	"2"
"GBM29_Stroma_8"	"GBM29"	"Stroma"	"8"
"GBM29_Stroma_11"	"GBM29"	"Stroma"	"11"
"GBM29_Tumor_0"	"GBM29"	"Tumor"	"0"
"GBM29_Tumor_1"	"GBM29"	"Tumor"	"1"
"GBM29_Tumor_2"	"GBM29"	"Tumor"	"2"
"GBM29_Tumor_3"	"GBM29"	"Tumor"	"3"
"GBM29_Tumor_4"	"GBM29"	"Tumor"	"4"
"GBM29_Tumor_5"	"GBM29"	"Tumor"	"5"
"GBM29_Tumor_6"	"GBM29"	"Tumor"	"6"
"GBM29_Tumor_7"	"GBM29"	"Tumor"	"7"
"GBM29_Tumor_8"	"GBM29"	"Tumor"	"8"
"GBM29_Tumor_9"	"GBM29"	"Tumor"	"9"
"GBM29_Tumor_10"	"GBM29"	"Tumor"	"10"
"GBM29_Tumor_12"	"GBM29"	"Tumor"	"12"
"GBM29_Tumor_14"	"GBM29"	"Tumor"	"14"
"GBM29_Tumor_15"	"GBM29"	"Tumor"	"15"
