SampleID	PatientID	CellType	SeuratCluster
GSE162631-R1-N_Endothelial_7	GSE162631-R1-N	Endothelial	7
GSE162631-R1-N_Endothelial_10	GSE162631-R1-N	Endothelial	10
GSE162631-R1-N_Glia and neuronal_5	GSE162631-R1-N	Glia and neuronal	5
GSE162631-R1-N_Glia and neuronal_13	GSE162631-R1-N	Glia and neuronal	13
GSE162631-R1-N_Macrophage_0	GSE162631-R1-N	Macrophage	0
GSE162631-R1-N_Macrophage_1	GSE162631-R1-N	Macrophage	1
GSE162631-R1-N_Macrophage_2	GSE162631-R1-N	Macrophage	2
GSE162631-R1-N_Macrophage_3	GSE162631-R1-N	Macrophage	3
GSE162631-R1-N_Macrophage_5	GSE162631-R1-N	Macrophage	5
GSE162631-R1-N_Macrophage_8	GSE162631-R1-N	Macrophage	8
GSE162631-R1-N_Macrophage_9	GSE162631-R1-N	Macrophage	9
GSE162631-R1-N_Microglia_0	GSE162631-R1-N	Microglia	0
GSE162631-R1-N_Microglia_1	GSE162631-R1-N	Microglia	1
GSE162631-R1-N_Microglia_2	GSE162631-R1-N	Microglia	2
GSE162631-R1-N_Microglia_3	GSE162631-R1-N	Microglia	3
GSE162631-R1-N_Microglia_4	GSE162631-R1-N	Microglia	4
GSE162631-R1-N_Microglia_5	GSE162631-R1-N	Microglia	5
GSE162631-R1-N_Microglia_6	GSE162631-R1-N	Microglia	6
GSE162631-R1-N_Microglia_7	GSE162631-R1-N	Microglia	7
GSE162631-R1-N_Microglia_8	GSE162631-R1-N	Microglia	8
GSE162631-R1-N_Microglia_12	GSE162631-R1-N	Microglia	12
GSE162631-R1-N_Microglia patient4_0	GSE162631-R1-N	Microglia patient4	0
GSE162631-R1-N_Microglia patient4_1	GSE162631-R1-N	Microglia patient4	1
GSE162631-R1-N_Microglia patient4_2	GSE162631-R1-N	Microglia patient4	2
GSE162631-R1-N_Microglia patient4_3	GSE162631-R1-N	Microglia patient4	3
GSE162631-R1-N_Microglia patient4_4	GSE162631-R1-N	Microglia patient4	4
GSE162631-R1-N_Microglia patient4_5	GSE162631-R1-N	Microglia patient4	5
GSE162631-R1-N_Microglia patient4_6	GSE162631-R1-N	Microglia patient4	6
GSE162631-R1-N_Microglia patient4_7	GSE162631-R1-N	Microglia patient4	7
GSE162631-R1-N_Microglia patient4_8	GSE162631-R1-N	Microglia patient4	8
GSE162631-R1-N_Microglia patient4_9	GSE162631-R1-N	Microglia patient4	9
GSE162631-R1-N_Microglia patient4_10	GSE162631-R1-N	Microglia patient4	10
GSE162631-R1-N_Microglia patient4_11	GSE162631-R1-N	Microglia patient4	11
GSE162631-R1-N_Mural_12	GSE162631-R1-N	Mural	12
GSE162631-R1-N_Neutrophils_9	GSE162631-R1-N	Neutrophils	9
GSE162631-R1-N_Proliferating Macrophage_0	GSE162631-R1-N	Proliferating Macrophage	0
GSE162631-R1-N_Proliferating Macrophage_6	GSE162631-R1-N	Proliferating Macrophage	6
GSE162631-R1-N_Proliferating Macrophage_16	GSE162631-R1-N	Proliferating Macrophage	16
GSE162631-R1-N_Tcell_14	GSE162631-R1-N	Tcell	14
GSE162631-R1-N_unkown-1_0	GSE162631-R1-N	unkown-1	0
GSE162631-R1-N_unkown-1_1	GSE162631-R1-N	unkown-1	1
GSE162631-R1-N_unkown-1_2	GSE162631-R1-N	unkown-1	2
GSE162631-R1-N_unkown-1_3	GSE162631-R1-N	unkown-1	3
GSE162631-R1-N_unkown-1_5	GSE162631-R1-N	unkown-1	5
GSE162631-R1-N_unkown-1_6	GSE162631-R1-N	unkown-1	6
GSE162631-R1-N_unkown-1_7	GSE162631-R1-N	unkown-1	7
GSE162631-R1-N_unkown-1_8	GSE162631-R1-N	unkown-1	8
GSE162631-R1-N_unkown-1_9	GSE162631-R1-N	unkown-1	9
GSE162631-R1-N_unkown-1_10	GSE162631-R1-N	unkown-1	10
GSE162631-R1-N_unkown-1_11	GSE162631-R1-N	unkown-1	11
GSE162631-R1-N_unkown-2_0	GSE162631-R1-N	unkown-2	0
GSE162631-R1-N_unkown-2_1	GSE162631-R1-N	unkown-2	1
GSE162631-R1-N_unkown-2_2	GSE162631-R1-N	unkown-2	2
GSE162631-R1-N_unkown-2_3	GSE162631-R1-N	unkown-2	3
GSE162631-R1-N_unkown-2_4	GSE162631-R1-N	unkown-2	4
GSE162631-R1-N_unkown-2_5	GSE162631-R1-N	unkown-2	5
GSE162631-R1-N_unkown-2_8	GSE162631-R1-N	unkown-2	8
GSE162631-R1-N_unkown-2_9	GSE162631-R1-N	unkown-2	9
GSE162631-R1-N_unkown-2_17	GSE162631-R1-N	unkown-2	17
GSE162631-R2-N_Endothelial_5	GSE162631-R2-N	Endothelial	5
GSE162631-R2-N_Endothelial_7	GSE162631-R2-N	Endothelial	7
GSE162631-R2-N_Endothelial_9	GSE162631-R2-N	Endothelial	9
GSE162631-R2-N_Glia and neuronal_13	GSE162631-R2-N	Glia and neuronal	13
GSE162631-R2-N_Macrophage_1	GSE162631-R2-N	Macrophage	1
