"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"GSE162631-R1-T_B cells_2"	"GSE162631-R1-T"	"B cells"	"2"
"GSE162631-R1-T_B cells_14"	"GSE162631-R1-T"	"B cells"	"14"
"GSE162631-R1-T_B cells_16"	"GSE162631-R1-T"	"B cells"	"16"
"GSE162631-R1-T_dendritic cells_0"	"GSE162631-R1-T"	"dendritic cells"	"0"
"GSE162631-R1-T_dendritic cells_1"	"GSE162631-R1-T"	"dendritic cells"	"1"
"GSE162631-R1-T_dendritic cells_10"	"GSE162631-R1-T"	"dendritic cells"	"10"
"GSE162631-R1-T_dendritic cells_15"	"GSE162631-R1-T"	"dendritic cells"	"15"
"GSE162631-R1-T_dendritic cells_16"	"GSE162631-R1-T"	"dendritic cells"	"16"
"GSE162631-R1-T_Endothelial_0"	"GSE162631-R1-T"	"Endothelial"	"0"
"GSE162631-R1-T_Endothelial_1"	"GSE162631-R1-T"	"Endothelial"	"1"
"GSE162631-R1-T_Endothelial_2"	"GSE162631-R1-T"	"Endothelial"	"2"
"GSE162631-R1-T_Endothelial_3"	"GSE162631-R1-T"	"Endothelial"	"3"
"GSE162631-R1-T_Endothelial_4"	"GSE162631-R1-T"	"Endothelial"	"4"
"GSE162631-R1-T_Endothelial_5"	"GSE162631-R1-T"	"Endothelial"	"5"
"GSE162631-R1-T_Endothelial_6"	"GSE162631-R1-T"	"Endothelial"	"6"
"GSE162631-R1-T_Endothelial_7"	"GSE162631-R1-T"	"Endothelial"	"7"
"GSE162631-R1-T_Endothelial_8"	"GSE162631-R1-T"	"Endothelial"	"8"
"GSE162631-R1-T_Endothelial_9"	"GSE162631-R1-T"	"Endothelial"	"9"
"GSE162631-R1-T_Endothelial_11"	"GSE162631-R1-T"	"Endothelial"	"11"
"GSE162631-R1-T_Endothelial_12"	"GSE162631-R1-T"	"Endothelial"	"12"
"GSE162631-R1-T_Endothelial_13"	"GSE162631-R1-T"	"Endothelial"	"13"
"GSE162631-R1-T_Endothelial_16"	"GSE162631-R1-T"	"Endothelial"	"16"
"GSE162631-R1-T_Endothelial_17"	"GSE162631-R1-T"	"Endothelial"	"17"
"GSE162631-R1-T_Endothelial_18"	"GSE162631-R1-T"	"Endothelial"	"18"
"GSE162631-R1-T_Glia and neuronal cells_0"	"GSE162631-R1-T"	"Glia and neuronal cells"	"0"
"GSE162631-R1-T_Glia and neuronal cells_10"	"GSE162631-R1-T"	"Glia and neuronal cells"	"10"
"GSE162631-R1-T_Glia and neuronal cells_17"	"GSE162631-R1-T"	"Glia and neuronal cells"	"17"
"GSE162631-R1-T_Macrophage_0"	"GSE162631-R1-T"	"Macrophage"	"0"
"GSE162631-R1-T_Macrophage_1"	"GSE162631-R1-T"	"Macrophage"	"1"
"GSE162631-R1-T_Macrophage_2"	"GSE162631-R1-T"	"Macrophage"	"2"
"GSE162631-R1-T_Macrophage_3"	"GSE162631-R1-T"	"Macrophage"	"3"
"GSE162631-R1-T_Macrophage_4"	"GSE162631-R1-T"	"Macrophage"	"4"
"GSE162631-R1-T_Macrophage_5"	"GSE162631-R1-T"	"Macrophage"	"5"
"GSE162631-R1-T_Macrophage_6"	"GSE162631-R1-T"	"Macrophage"	"6"
"GSE162631-R1-T_Macrophage_7"	"GSE162631-R1-T"	"Macrophage"	"7"
"GSE162631-R1-T_Macrophage_8"	"GSE162631-R1-T"	"Macrophage"	"8"
"GSE162631-R1-T_Macrophage_9"	"GSE162631-R1-T"	"Macrophage"	"9"
"GSE162631-R1-T_Macrophage_10"	"GSE162631-R1-T"	"Macrophage"	"10"
"GSE162631-R1-T_Macrophage_11"	"GSE162631-R1-T"	"Macrophage"	"11"
"GSE162631-R1-T_Macrophage_12"	"GSE162631-R1-T"	"Macrophage"	"12"
"GSE162631-R1-T_Macrophage_13"	"GSE162631-R1-T"	"Macrophage"	"13"
"GSE162631-R1-T_Macrophage_15"	"GSE162631-R1-T"	"Macrophage"	"15"
"GSE162631-R1-T_Macrophage_16"	"GSE162631-R1-T"	"Macrophage"	"16"
"GSE162631-R1-T_Microglia_0"	"GSE162631-R1-T"	"Microglia"	"0"
"GSE162631-R1-T_Microglia_1"	"GSE162631-R1-T"	"Microglia"	"1"
"GSE162631-R1-T_Microglia_2"	"GSE162631-R1-T"	"Microglia"	"2"
"GSE162631-R1-T_Microglia_3"	"GSE162631-R1-T"	"Microglia"	"3"
"GSE162631-R1-T_Microglia_4"	"GSE162631-R1-T"	"Microglia"	"4"
"GSE162631-R1-T_Microglia_5"	"GSE162631-R1-T"	"Microglia"	"5"
"GSE162631-R1-T_Microglia_6"	"GSE162631-R1-T"	"Microglia"	"6"
"GSE162631-R1-T_Microglia_7"	"GSE162631-R1-T"	"Microglia"	"7"
"GSE162631-R1-T_Microglia_8"	"GSE162631-R1-T"	"Microglia"	"8"
"GSE162631-R1-T_Microglia_9"	"GSE162631-R1-T"	"Microglia"	"9"
"GSE162631-R1-T_Microglia_10"	"GSE162631-R1-T"	"Microglia"	"10"
"GSE162631-R1-T_Microglia_12"	"GSE162631-R1-T"	"Microglia"	"12"
"GSE162631-R1-T_Microglia_13"	"GSE162631-R1-T"	"Microglia"	"13"
"GSE162631-R1-T_Microglia_16"	"GSE162631-R1-T"	"Microglia"	"16"
"GSE162631-R1-T_Microglia_17"	"GSE162631-R1-T"	"Microglia"	"17"
"GSE162631-R1-T_Microglia/Macrophage_0"	"GSE162631-R1-T"	"Microglia/Macrophage"	"0"
"GSE162631-R1-T_Microglia/Macrophage_1"	"GSE162631-R1-T"	"Microglia/Macrophage"	"1"
"GSE162631-R1-T_Microglia/Macrophage_2"	"GSE162631-R1-T"	"Microglia/Macrophage"	"2"
"GSE162631-R1-T_Microglia/Macrophage_3"	"GSE162631-R1-T"	"Microglia/Macrophage"	"3"
"GSE162631-R1-T_Microglia/Macrophage_4"	"GSE162631-R1-T"	"Microglia/Macrophage"	"4"
"GSE162631-R1-T_Microglia/Macrophage_5"	"GSE162631-R1-T"	"Microglia/Macrophage"	"5"
"GSE162631-R1-T_Microglia/Macrophage_6"	"GSE162631-R1-T"	"Microglia/Macrophage"	"6"
"GSE162631-R1-T_Microglia/Macrophage_7"	"GSE162631-R1-T"	"Microglia/Macrophage"	"7"
"GSE162631-R1-T_Microglia/Macrophage_8"	"GSE162631-R1-T"	"Microglia/Macrophage"	"8"
"GSE162631-R1-T_Microglia/Macrophage_9"	"GSE162631-R1-T"	"Microglia/Macrophage"	"9"
"GSE162631-R1-T_Microglia/Macrophage_10"	"GSE162631-R1-T"	"Microglia/Macrophage"	"10"
