"cnames"	""	""	""
"g1_Tcells_0"	"g1"	"Tcells"	"0"
"g1_Tcells_6"	"g1"	"Tcells"	"6"
"g1_Tcells_9"	"g1"	"Tcells"	"9"
"g1_Tumor_3"	"g1"	"Tumor"	"3"
"g1_Tumor_7"	"g1"	"Tumor"	"7"
"g1_Tumor_14"	"g1"	"Tumor"	"14"
"g1_Tumor_20"	"g1"	"Tumor"	"20"
"g1_Tumor_28"	"g1"	"Tumor"	"28"
"g10_Tcells_0"	"g10"	"Tcells"	"0"
"g10_Tcells_1"	"g10"	"Tcells"	"1"
"g10_Tcells_6"	"g10"	"Tcells"	"6"
"g10_Tumor_4"	"g10"	"Tumor"	"4"
"g10_Tumor_7"	"g10"	"Tumor"	"7"
"g10_Tumor_11"	"g10"	"Tumor"	"11"
"g11_Tcells_0"	"g11"	"Tcells"	"0"
"g11_Tcells_1"	"g11"	"Tcells"	"1"
"g11_Tcells_6"	"g11"	"Tcells"	"6"
"g11_Tcells_9"	"g11"	"Tcells"	"9"
"g11_Tumor_4"	"g11"	"Tumor"	"4"
"g11_Tumor_7"	"g11"	"Tumor"	"7"
"g11_Tumor_29"	"g11"	"Tumor"	"29"
"g12_Stroma_24"	"g12"	"Stroma"	"24"
"g12_Tcells_0"	"g12"	"Tcells"	"0"
"g12_Tcells_1"	"g12"	"Tcells"	"1"
"g12_Tumor_7"	"g12"	"Tumor"	"7"
"g12_Tumor_28"	"g12"	"Tumor"	"28"
"g12_Tumor_29"	"g12"	"Tumor"	"29"
"g13_Tcells_0"	"g13"	"Tcells"	"0"
"g13_Tcells_1"	"g13"	"Tcells"	"1"
"g13_Tcells_6"	"g13"	"Tcells"	"6"
"g13_Tcells_9"	"g13"	"Tcells"	"9"
"g13_Tumor_4"	"g13"	"Tumor"	"4"
"g13_Tumor_7"	"g13"	"Tumor"	"7"
"g13_Tumor_27"	"g13"	"Tumor"	"27"
"g14_Myeloid_23"	"g14"	"Myeloid"	"23"
"g14_Stroma_24"	"g14"	"Stroma"	"24"
"g14_Tcells_0"	"g14"	"Tcells"	"0"
"g14_Tcells_1"	"g14"	"Tcells"	"1"
"g14_Tcells_6"	"g14"	"Tcells"	"6"
