"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"GSE179373-GSM5416355-5_CD4+ T cells_0"	"GSE179373-GSM5416355-5"	"CD4+ T cells"	"0"
"GSE179373-GSM5416355-5_CD4+ T cells_7"	"GSE179373-GSM5416355-5"	"CD4+ T cells"	"7"
"GSE179373-GSM5416355-5_CD4+ T cells_8"	"GSE179373-GSM5416355-5"	"CD4+ T cells"	"8"
"GSE179373-GSM5416355-5_CD8+ T cells_0"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"0"
"GSE179373-GSM5416355-5_CD8+ T cells_1"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"1"
"GSE179373-GSM5416355-5_CD8+ T cells_2"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"2"
"GSE179373-GSM5416355-5_CD8+ T cells_3"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"3"
"GSE179373-GSM5416355-5_CD8+ T cells_4"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"4"
"GSE179373-GSM5416355-5_CD8+ T cells_5"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"5"
"GSE179373-GSM5416355-5_CD8+ T cells_6"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"6"
"GSE179373-GSM5416355-5_CD8+ T cells_7"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"7"
"GSE179373-GSM5416355-5_CD8+ T cells_8"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"8"
"GSE179373-GSM5416355-5_CD8+ T cells_9"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"9"
"GSE179373-GSM5416355-5_CD8+ T cells_10"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"10"
"GSE179373-GSM5416355-5_CD8+ T cells_11"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"11"
"GSE179373-GSM5416355-5_CD8+ T cells_12"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"12"
"GSE179373-GSM5416355-5_CD8+ T cells_13"	"GSE179373-GSM5416355-5"	"CD8+ T cells"	"13"
"GSE179373-GSM5416355-5_Erythroid cells_10"	"GSE179373-GSM5416355-5"	"Erythroid cells"	"10"
"GSE179373-GSM5416355-5_NA_10"	"GSE179373-GSM5416355-5"	"NA"	"10"
"GSE179373-GSM5416355-5_NK cells_0"	"GSE179373-GSM5416355-5"	"NK cells"	"0"
"GSE179373-GSM5416355-5_NK cells_2"	"GSE179373-GSM5416355-5"	"NK cells"	"2"
"GSE179373-GSM5416355-5_NK cells_3"	"GSE179373-GSM5416355-5"	"NK cells"	"3"
"GSE179373-GSM5416355-5_NK cells_5"	"GSE179373-GSM5416355-5"	"NK cells"	"5"
"GSE179373-GSM5416355-5_NK cells_7"	"GSE179373-GSM5416355-5"	"NK cells"	"7"
"GSE179373-GSM5416355-5_NK cells_11"	"GSE179373-GSM5416355-5"	"NK cells"	"11"
"GSE179373-GSM5416358-14_CD4+ T cells_8"	"GSE179373-GSM5416358-14"	"CD4+ T cells"	"8"
"GSE179373-GSM5416358-14_CD8+ T cells_0"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"0"
"GSE179373-GSM5416358-14_CD8+ T cells_1"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"1"
"GSE179373-GSM5416358-14_CD8+ T cells_2"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"2"
"GSE179373-GSM5416358-14_CD8+ T cells_3"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"3"
"GSE179373-GSM5416358-14_CD8+ T cells_4"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"4"
"GSE179373-GSM5416358-14_CD8+ T cells_5"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"5"
"GSE179373-GSM5416358-14_CD8+ T cells_6"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"6"
"GSE179373-GSM5416358-14_CD8+ T cells_7"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"7"
"GSE179373-GSM5416358-14_CD8+ T cells_8"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"8"
"GSE179373-GSM5416358-14_CD8+ T cells_9"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"9"
"GSE179373-GSM5416358-14_CD8+ T cells_10"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"10"
"GSE179373-GSM5416358-14_CD8+ T cells_11"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"11"
"GSE179373-GSM5416358-14_CD8+ T cells_12"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"12"
"GSE179373-GSM5416358-14_CD8+ T cells_13"	"GSE179373-GSM5416358-14"	"CD8+ T cells"	"13"
"GSE179373-GSM5416358-14_NA_10"	"GSE179373-GSM5416358-14"	"NA"	"10"
"GSE179373-GSM5416361-15_CD4+ T cells_0"	"GSE179373-GSM5416361-15"	"CD4+ T cells"	"0"
"GSE179373-GSM5416361-15_CD4+ T cells_4"	"GSE179373-GSM5416361-15"	"CD4+ T cells"	"4"
"GSE179373-GSM5416361-15_CD4+ T cells_6"	"GSE179373-GSM5416361-15"	"CD4+ T cells"	"6"
"GSE179373-GSM5416361-15_CD4+ T cells_7"	"GSE179373-GSM5416361-15"	"CD4+ T cells"	"7"
"GSE179373-GSM5416361-15_CD4+ T cells_8"	"GSE179373-GSM5416361-15"	"CD4+ T cells"	"8"
"GSE179373-GSM5416361-15_CD8+ T cells_0"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"0"
"GSE179373-GSM5416361-15_CD8+ T cells_1"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"1"
"GSE179373-GSM5416361-15_CD8+ T cells_2"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"2"
"GSE179373-GSM5416361-15_CD8+ T cells_3"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"3"
"GSE179373-GSM5416361-15_CD8+ T cells_4"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"4"
"GSE179373-GSM5416361-15_CD8+ T cells_5"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"5"
"GSE179373-GSM5416361-15_CD8+ T cells_6"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"6"
"GSE179373-GSM5416361-15_CD8+ T cells_7"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"7"
"GSE179373-GSM5416361-15_CD8+ T cells_8"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"8"
"GSE179373-GSM5416361-15_CD8+ T cells_9"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"9"
"GSE179373-GSM5416361-15_CD8+ T cells_10"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"10"
"GSE179373-GSM5416361-15_CD8+ T cells_11"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"11"
"GSE179373-GSM5416361-15_CD8+ T cells_12"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"12"
"GSE179373-GSM5416361-15_CD8+ T cells_13"	"GSE179373-GSM5416361-15"	"CD8+ T cells"	"13"
"GSE179373-GSM5416361-15_CMPs_10"	"GSE179373-GSM5416361-15"	"CMPs"	"10"
"GSE179373-GSM5416361-15_Erythroid cells_10"	"GSE179373-GSM5416361-15"	"Erythroid cells"	"10"
