"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"Breast-1_Astrocytes_15"	"Breast-1"	"Astrocytes"	"15"
"Breast-1_Astrocytes_18"	"Breast-1"	"Astrocytes"	"18"
"Breast-1_B-c1_19"	"Breast-1"	"B-c1"	"19"
"Breast-1_B-c2_19"	"Breast-1"	"B-c2"	"19"
"Breast-1_CD1C+/CLEC10A+_cDC2_7"	"Breast-1"	"CD1C+/CLEC10A+_cDC2"	"7"
"Breast-1_CD1C+/CLEC10A+_cDC2_8"	"Breast-1"	"CD1C+/CLEC10A+_cDC2"	"8"
"Breast-1_CD1C+/CLEC10A+_cDC2_19"	"Breast-1"	"CD1C+/CLEC10A+_cDC2"	"19"
"Breast-1_EC-1_8"	"Breast-1"	"EC-1"	"8"
"Breast-1_EC-2_8"	"Breast-1"	"EC-2"	"8"
"Breast-1_EC-3_8"	"Breast-1"	"EC-3"	"8"
"Breast-1_APOE+_MAMs_7"	"Breast-1"	"APOE+_MAMs"	"7"
"Breast-1_S100A8+_MAMs_7"	"Breast-1"	"S100A8+_MAMs"	"7"
"Breast-1_MSC-like-c1_0"	"Breast-1"	"MSC-like-c1"	"0"
"Breast-1_MSC-like-c1_2"	"Breast-1"	"MSC-like-c1"	"2"
"Breast-1_MSC-like-c1_4"	"Breast-1"	"MSC-like-c1"	"4"
"Breast-1_MSC-like-c1_8"	"Breast-1"	"MSC-like-c1"	"8"
"Breast-1_MSC-like-c1_13"	"Breast-1"	"MSC-like-c1"	"13"
"Breast-1_MSC-like-c1_14"	"Breast-1"	"MSC-like-c1"	"14"
"Breast-1_MSC-like-c1_20"	"Breast-1"	"MSC-like-c1"	"20"
"Breast-1_MSC-like-c2_2"	"Breast-1"	"MSC-like-c2"	"2"
"Breast-1_MSC-like-c2_8"	"Breast-1"	"MSC-like-c2"	"8"
"Breast-1_MSC-like-c2_13"	"Breast-1"	"MSC-like-c2"	"13"
"Breast-1_MSC-like-c2_14"	"Breast-1"	"MSC-like-c2"	"14"
"Breast-1_MTCs_0"	"Breast-1"	"MTCs"	"0"
"Breast-1_MTCs_1"	"Breast-1"	"MTCs"	"1"
"Breast-1_MTCs_2"	"Breast-1"	"MTCs"	"2"
"Breast-1_MTCs_3"	"Breast-1"	"MTCs"	"3"
"Breast-1_MTCs_4"	"Breast-1"	"MTCs"	"4"
"Breast-1_MTCs_5"	"Breast-1"	"MTCs"	"5"
"Breast-1_MTCs_7"	"Breast-1"	"MTCs"	"7"
"Breast-1_MTCs_8"	"Breast-1"	"MTCs"	"8"
"Breast-1_MTCs_9"	"Breast-1"	"MTCs"	"9"
"Breast-1_MTCs_11"	"Breast-1"	"MTCs"	"11"
"Breast-1_MTCs_15"	"Breast-1"	"MTCs"	"15"
"Breast-1_MTCs_17"	"Breast-1"	"MTCs"	"17"
"Breast-1_PC-1_2"	"Breast-1"	"PC-1"	"2"
"Breast-1_PC-1_4"	"Breast-1"	"PC-1"	"4"
"Breast-1_PC-1_13"	"Breast-1"	"PC-1"	"13"
"Breast-1_PC-1_20"	"Breast-1"	"PC-1"	"20"
"Breast-1_PC-2_2"	"Breast-1"	"PC-2"	"2"
"Breast-1_PC-2_13"	"Breast-1"	"PC-2"	"13"
"Breast-1_PC-2_14"	"Breast-1"	"PC-2"	"14"
"Breast-1_PC-2_16"	"Breast-1"	"PC-2"	"16"
"Breast-1_PC-2_20"	"Breast-1"	"PC-2"	"20"
"Breast-1_PC-3_1"	"Breast-1"	"PC-3"	"1"
"Breast-1_PC-3_2"	"Breast-1"	"PC-3"	"2"
"Breast-1_PC-3_16"	"Breast-1"	"PC-3"	"16"
"Breast-1_PC-3_20"	"Breast-1"	"PC-3"	"20"
"Breast-1_CM1_CD4+_T_0"	"Breast-1"	"CM1_CD4+_T"	"0"
"Breast-1_CM1_CD4+_T_6"	"Breast-1"	"CM1_CD4+_T"	"6"
"Breast-1_CM1_CD4+_T_10"	"Breast-1"	"CM1_CD4+_T"	"10"
"Breast-1_CM1_CD4+_T_20"	"Breast-1"	"CM1_CD4+_T"	"20"
"Breast-1_CM2_CD4+_T_7"	"Breast-1"	"CM2_CD4+_T"	"7"
"Breast-1_CM2_CD4+_T_15"	"Breast-1"	"CM2_CD4+_T"	"15"
"Breast-1_EM_CD8+_T_6"	"Breast-1"	"EM_CD8+_T"	"6"
"Breast-1_EM_CD8+_T_7"	"Breast-1"	"EM_CD8+_T"	"7"
"Breast-1_EM_CD8+_T_10"	"Breast-1"	"EM_CD8+_T"	"10"
