"SampleID"	"PatientID"	"CellType"
"Breast-1_Astrocytes"	"Breast-1"	"Astrocytes"
"Breast-1_B-c1"	"Breast-1"	"B-c1"
"Breast-1_B-c2"	"Breast-1"	"B-c2"
"Breast-1_CD1C+/CLEC10A+_cDC2"	"Breast-1"	"CD1C+/CLEC10A+_cDC2"
"Breast-1_EC-1"	"Breast-1"	"EC-1"
"Breast-1_EC-2"	"Breast-1"	"EC-2"
"Breast-1_EC-3"	"Breast-1"	"EC-3"
"Breast-1_APOE+_MAMs"	"Breast-1"	"APOE+_MAMs"
"Breast-1_S100A8+_MAMs"	"Breast-1"	"S100A8+_MAMs"
"Breast-1_MSC-like-c1"	"Breast-1"	"MSC-like-c1"
"Breast-1_MSC-like-c2"	"Breast-1"	"MSC-like-c2"
"Breast-1_MTCs"	"Breast-1"	"MTCs"
"Breast-1_PC-1"	"Breast-1"	"PC-1"
"Breast-1_PC-2"	"Breast-1"	"PC-2"
"Breast-1_PC-3"	"Breast-1"	"PC-3"
"Breast-1_CM1_CD4+_T"	"Breast-1"	"CM1_CD4+_T"
"Breast-1_CM2_CD4+_T"	"Breast-1"	"CM2_CD4+_T"
"Breast-1_EM_CD8+_T"	"Breast-1"	"EM_CD8+_T"
"Breast-1_CM_T"	"Breast-1"	"CM_T"
"Breast-1_Treg"	"Breast-1"	"Treg"
"Breast-1_vSMCs"	"Breast-1"	"vSMCs"
"Breast-1-Biological-Replicate_Astrocytes"	"Breast-1-Biological-Replicate"	"Astrocytes"
"Breast-1-Biological-Replicate_B-c1"	"Breast-1-Biological-Replicate"	"B-c1"
"Breast-1-Biological-Replicate_B-c2"	"Breast-1-Biological-Replicate"	"B-c2"
"Breast-1-Biological-Replicate_CD1C+/CLEC10A+_cDC2"	"Breast-1-Biological-Replicate"	"CD1C+/CLEC10A+_cDC2"
"Breast-1-Biological-Replicate_EC-1"	"Breast-1-Biological-Replicate"	"EC-1"
"Breast-1-Biological-Replicate_EC-2"	"Breast-1-Biological-Replicate"	"EC-2"
"Breast-1-Biological-Replicate_EC-3"	"Breast-1-Biological-Replicate"	"EC-3"
"Breast-1-Biological-Replicate_APOE+_MAMs"	"Breast-1-Biological-Replicate"	"APOE+_MAMs"
"Breast-1-Biological-Replicate_S100A8+_MAMs"	"Breast-1-Biological-Replicate"	"S100A8+_MAMs"
"Breast-1-Biological-Replicate_MSC-like-c1"	"Breast-1-Biological-Replicate"	"MSC-like-c1"
"Breast-1-Biological-Replicate_MSC-like-c2"	"Breast-1-Biological-Replicate"	"MSC-like-c2"
"Breast-1-Biological-Replicate_MTCs"	"Breast-1-Biological-Replicate"	"MTCs"
"Breast-1-Biological-Replicate_PC-1"	"Breast-1-Biological-Replicate"	"PC-1"
"Breast-1-Biological-Replicate_PC-2"	"Breast-1-Biological-Replicate"	"PC-2"
