"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"X1001000010_Myeloid_2"	"X1001000010"	"Myeloid"	"2"
"X1001000010_Stroma_12"	"X1001000010"	"Stroma"	"12"
"X1001000010_Tumor_1"	"X1001000010"	"Tumor"	"1"
"X1001000010_Tumor_10"	"X1001000010"	"Tumor"	"10"
"X1001000012_Myeloid_0"	"X1001000012"	"Myeloid"	"0"
"X1001000012_Tumor_5"	"X1001000012"	"Tumor"	"5"
"X1001000014_Stroma_12"	"X1001000014"	"Stroma"	"12"
"X1001000014_Tumor_1"	"X1001000014"	"Tumor"	"1"
"X1001000014_Tumor_4"	"X1001000014"	"Tumor"	"4"
"X1001000015_Myeloid_0"	"X1001000015"	"Myeloid"	"0"
"X1001000017_Myeloid_0"	"X1001000017"	"Myeloid"	"0"
"X1001000017_Myeloid_2"	"X1001000017"	"Myeloid"	"2"
"X1001000017_Myeloid_7"	"X1001000017"	"Myeloid"	"7"
"X1001000017_Stroma_12"	"X1001000017"	"Stroma"	"12"
"X1001000017_Tumor_1"	"X1001000017"	"Tumor"	"1"
"X1001000017_Tumor_4"	"X1001000017"	"Tumor"	"4"
"X1001000017_Tumor_5"	"X1001000017"	"Tumor"	"5"
"X1001000017_Tumor_8"	"X1001000017"	"Tumor"	"8"
"X1001000018_Myeloid_0"	"X1001000018"	"Myeloid"	"0"
"X1001000018_Stroma_12"	"X1001000018"	"Stroma"	"12"
"X1001000018_Tumor_5"	"X1001000018"	"Tumor"	"5"
"X1001000019_Myeloid_2"	"X1001000019"	"Myeloid"	"2"
"X1001000019_Myeloid_7"	"X1001000019"	"Myeloid"	"7"
"X1001000019_Stroma_12"	"X1001000019"	"Stroma"	"12"
"X1001000019_Tumor_1"	"X1001000019"	"Tumor"	"1"
"X1001000019_Tumor_10"	"X1001000019"	"Tumor"	"10"
"X1001000028_Tumor_5"	"X1001000028"	"Tumor"	"5"
"X1001000031_Myeloid_0"	"X1001000031"	"Myeloid"	"0"
"X1001000031_Myeloid_7"	"X1001000031"	"Myeloid"	"7"
"X1001000031_Myeloid_14"	"X1001000031"	"Myeloid"	"14"
"X1001000031_Tumor_5"	"X1001000031"	"Tumor"	"5"
"X1001000031_Tumor_10"	"X1001000031"	"Tumor"	"10"
"X1001000032_Myeloid_14"	"X1001000032"	"Myeloid"	"14"
"X1001000032_Tumor_5"	"X1001000032"	"Tumor"	"5"
"X1001000032_Tumor_8"	"X1001000032"	"Tumor"	"8"
"X1001000033_Myeloid_2"	"X1001000033"	"Myeloid"	"2"
"X1001000033_Myeloid_3"	"X1001000033"	"Myeloid"	"3"
"X1001000033_Myeloid_7"	"X1001000033"	"Myeloid"	"7"
"X1001000033_Tumor_1"	"X1001000033"	"Tumor"	"1"
"X1001000033_Tumor_5"	"X1001000033"	"Tumor"	"5"
"X1001000033_Tumor_10"	"X1001000033"	"Tumor"	"10"
"X1001000034_Stroma_12"	"X1001000034"	"Stroma"	"12"
"X1001000034_Tumor_4"	"X1001000034"	"Tumor"	"4"
"X1001000036_Myeloid_7"	"X1001000036"	"Myeloid"	"7"
"X1001000036_Stroma_12"	"X1001000036"	"Stroma"	"12"
"X1001000036_Tumor_1"	"X1001000036"	"Tumor"	"1"
"X1001000036_Tumor_4"	"X1001000036"	"Tumor"	"4"
"X1001000036_Tumor_5"	"X1001000036"	"Tumor"	"5"
"X1001000036_Tumor_10"	"X1001000036"	"Tumor"	"10"
"X1001000037_Myeloid_0"	"X1001000037"	"Myeloid"	"0"
"X1001000037_Myeloid_7"	"X1001000037"	"Myeloid"	"7"
"X1001000037_Tumor_4"	"X1001000037"	"Tumor"	"4"
"X1001000037_Tumor_5"	"X1001000037"	"Tumor"	"5"
"X1001000173_Myeloid_0"	"X1001000173"	"Myeloid"	"0"
"X1001000173_Myeloid_2"	"X1001000173"	"Myeloid"	"2"
"X1001000173_Stroma_12"	"X1001000173"	"Stroma"	"12"
"X1001000173_Tumor_1"	"X1001000173"	"Tumor"	"1"
"X1001000173_Tumor_6"	"X1001000173"	"Tumor"	"6"
"X1001000173_Tumor_8"	"X1001000173"	"Tumor"	"8"
"X1001000174_Myeloid_0"	"X1001000174"	"Myeloid"	"0"
"X1001000174_Myeloid_3"	"X1001000174"	"Myeloid"	"3"
"X1001000174_Tumor_1"	"X1001000174"	"Tumor"	"1"
"X1001000174_Tumor_6"	"X1001000174"	"Tumor"	"6"
"X1001000175_Myeloid_0"	"X1001000175"	"Myeloid"	"0"
"X1001000175_Myeloid_2"	"X1001000175"	"Myeloid"	"2"
"X1001000175_Myeloid_7"	"X1001000175"	"Myeloid"	"7"
"X1001000175_Myeloid_14"	"X1001000175"	"Myeloid"	"14"
"X1001000175_Stroma_12"	"X1001000175"	"Stroma"	"12"
"X1001000175_Tumor_1"	"X1001000175"	"Tumor"	"1"
"X1001000175_Tumor_4"	"X1001000175"	"Tumor"	"4"
"X1001000175_Tumor_5"	"X1001000175"	"Tumor"	"5"
"X1001000175_Tumor_6"	"X1001000175"	"Tumor"	"6"
"X1001000176_Myeloid_2"	"X1001000176"	"Myeloid"	"2"
"X1001000176_Myeloid_3"	"X1001000176"	"Myeloid"	"3"
"X1001000176_Myeloid_7"	"X1001000176"	"Myeloid"	"7"
"X1001000176_Tumor_1"	"X1001000176"	"Tumor"	"1"
"X1001000176_Tumor_6"	"X1001000176"	"Tumor"	"6"
"X1001000176_Tumor_13"	"X1001000176"	"Tumor"	"13"
"X1001000177_Myeloid_2"	"X1001000177"	"Myeloid"	"2"
"X1001000177_Myeloid_3"	"X1001000177"	"Myeloid"	"3"
"X1001000177_Myeloid_7"	"X1001000177"	"Myeloid"	"7"
"X1001000177_Tumor_6"	"X1001000177"	"Tumor"	"6"
"X1001000177_Tumor_13"	"X1001000177"	"Tumor"	"13"
"X1001000178_Myeloid_0"	"X1001000178"	"Myeloid"	"0"
"X1001000178_Tumor_1"	"X1001000178"	"Tumor"	"1"
"X1001000178_Tumor_6"	"X1001000178"	"Tumor"	"6"
"X1001000178_Tumor_10"	"X1001000178"	"Tumor"	"10"
"X1001000179_Myeloid_0"	"X1001000179"	"Myeloid"	"0"
"X1001000179_Myeloid_2"	"X1001000179"	"Myeloid"	"2"
"X1001000179_Tumor_1"	"X1001000179"	"Tumor"	"1"
"X1001000179_Tumor_10"	"X1001000179"	"Tumor"	"10"
"X1001000180_Myeloid_0"	"X1001000180"	"Myeloid"	"0"
"X1001000180_Stroma_12"	"X1001000180"	"Stroma"	"12"
"X1001000180_Tumor_4"	"X1001000180"	"Tumor"	"4"
"X1001000180_Tumor_11"	"X1001000180"	"Tumor"	"11"
"X1001000181_Myeloid_0"	"X1001000181"	"Myeloid"	"0"
"X1001000181_Stroma_12"	"X1001000181"	"Stroma"	"12"
"X1001000181_Tumor_1"	"X1001000181"	"Tumor"	"1"
"X1001000181_Tumor_4"	"X1001000181"	"Tumor"	"4"
"X1001000181_Tumor_6"	"X1001000181"	"Tumor"	"6"
"X1001000181_Tumor_11"	"X1001000181"	"Tumor"	"11"
"X1001000182_Myeloid_0"	"X1001000182"	"Myeloid"	"0"
"X1001000182_Stroma_12"	"X1001000182"	"Stroma"	"12"
"X1001000182_Tumor_4"	"X1001000182"	"Tumor"	"4"
"X1001000182_Tumor_5"	"X1001000182"	"Tumor"	"5"
"X1001000183_Myeloid_0"	"X1001000183"	"Myeloid"	"0"
"X1001000183_Myeloid_2"	"X1001000183"	"Myeloid"	"2"
"X1001000183_Tumor_1"	"X1001000183"	"Tumor"	"1"
"X1001000183_Tumor_4"	"X1001000183"	"Tumor"	"4"
"X1001000183_Tumor_13"	"X1001000183"	"Tumor"	"13"
"X1001000184_Myeloid_0"	"X1001000184"	"Myeloid"	"0"
"X1001000184_Myeloid_2"	"X1001000184"	"Myeloid"	"2"
"X1001000184_Tumor_4"	"X1001000184"	"Tumor"	"4"
"X1001000184_Tumor_5"	"X1001000184"	"Tumor"	"5"
