"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"mgh103_Myeloid_2"	"mgh103"	"Myeloid"	"2"
"mgh103_Tumor_2"	"mgh103"	"Tumor"	"2"
"mgh103_Tumor_5"	"mgh103"	"Tumor"	"5"
"mgh103_Tumor_12"	"mgh103"	"Tumor"	"12"
"mgh103_Tumor_14"	"mgh103"	"Tumor"	"14"
"MGH103_Myeloid_2"	"MGH103"	"Myeloid"	"2"
"MGH103_Tumor_2"	"MGH103"	"Tumor"	"2"
"MGH103_Tumor_3"	"MGH103"	"Tumor"	"3"
"MGH103_Tumor_5"	"MGH103"	"Tumor"	"5"
"MGH103_Tumor_12"	"MGH103"	"Tumor"	"12"
"MGH103_Tumor_14"	"MGH103"	"Tumor"	"14"
"MGH107neg_Myeloid_2"	"MGH107neg"	"Myeloid"	"2"
"MGH107neg_Myeloid_3"	"MGH107neg"	"Myeloid"	"3"
"MGH107neg_Myeloid_8"	"MGH107neg"	"Myeloid"	"8"
"MGH107neg_Stroma_13"	"MGH107neg"	"Stroma"	"13"
"MGH107neg_Tumor_3"	"MGH107neg"	"Tumor"	"3"
"MGH107neg_Tumor_5"	"MGH107neg"	"Tumor"	"5"
"MGH107neg_Tumor_9"	"MGH107neg"	"Tumor"	"9"
"MGH107neg_Tumor_12"	"MGH107neg"	"Tumor"	"12"
"MGH107neg_Tumor_14"	"MGH107neg"	"Tumor"	"14"
"MGH107pos_Tumor_7"	"MGH107pos"	"Tumor"	"7"
"MGH42_Myeloid_2"	"MGH42"	"Myeloid"	"2"
"MGH42_Myeloid_6"	"MGH42"	"Myeloid"	"6"
"MGH42_Myeloid_8"	"MGH42"	"Myeloid"	"8"
"MGH42_Stroma_10"	"MGH42"	"Stroma"	"10"
"MGH42_Tumor_2"	"MGH42"	"Tumor"	"2"
"MGH42_Tumor_3"	"MGH42"	"Tumor"	"3"
"MGH42_Tumor_4"	"MGH42"	"Tumor"	"4"
"MGH42_Tumor_5"	"MGH42"	"Tumor"	"5"
"MGH42_Tumor_12"	"MGH42"	"Tumor"	"12"
"MGH42_Tumor_15"	"MGH42"	"Tumor"	"15"
"MGH43_Myeloid_2"	"MGH43"	"Myeloid"	"2"
"MGH43_Myeloid_6"	"MGH43"	"Myeloid"	"6"
"MGH43_Myeloid_10"	"MGH43"	"Myeloid"	"10"
"MGH43_Stroma_7"	"MGH43"	"Stroma"	"7"
"MGH43_Stroma_10"	"MGH43"	"Stroma"	"10"
"MGH43_Stroma_13"	"MGH43"	"Stroma"	"13"
"MGH43_Tumor_2"	"MGH43"	"Tumor"	"2"
"MGH43_Tumor_4"	"MGH43"	"Tumor"	"4"
"MGH43_Tumor_5"	"MGH43"	"Tumor"	"5"
"MGH43_Tumor_7"	"MGH43"	"Tumor"	"7"
"MGH43_Tumor_11"	"MGH43"	"Tumor"	"11"
"MGH43_Tumor_12"	"MGH43"	"Tumor"	"12"
"MGH44_Myeloid_2"	"MGH44"	"Myeloid"	"2"
"MGH44_Myeloid_6"	"MGH44"	"Myeloid"	"6"
"MGH44_Stroma_13"	"MGH44"	"Stroma"	"13"
"MGH44_Tumor_0"	"MGH44"	"Tumor"	"0"
"MGH44_Tumor_1"	"MGH44"	"Tumor"	"1"
"MGH44_Tumor_2"	"MGH44"	"Tumor"	"2"
"MGH44_Tumor_3"	"MGH44"	"Tumor"	"3"
"MGH44_Tumor_5"	"MGH44"	"Tumor"	"5"
"MGH44_Tumor_7"	"MGH44"	"Tumor"	"7"
"MGH44_Tumor_9"	"MGH44"	"Tumor"	"9"
"MGH44_Tumor_12"	"MGH44"	"Tumor"	"12"
"MGH44_Tumor_14"	"MGH44"	"Tumor"	"14"
"MGH45_Myeloid_2"	"MGH45"	"Myeloid"	"2"
"MGH45_Myeloid_6"	"MGH45"	"Myeloid"	"6"
"MGH45_Myeloid_8"	"MGH45"	"Myeloid"	"8"
"MGH45_Myeloid_10"	"MGH45"	"Myeloid"	"10"
"MGH45_Stroma_10"	"MGH45"	"Stroma"	"10"
"MGH45_Stroma_13"	"MGH45"	"Stroma"	"13"
"MGH45_Tumor_3"	"MGH45"	"Tumor"	"3"
"MGH45_Tumor_4"	"MGH45"	"Tumor"	"4"
"MGH45_Tumor_5"	"MGH45"	"Tumor"	"5"
"MGH45_Tumor_12"	"MGH45"	"Tumor"	"12"
"MGH56_Myeloid_2"	"MGH56"	"Myeloid"	"2"
"MGH56_Myeloid_8"	"MGH56"	"Myeloid"	"8"
"MGH56_Stroma_13"	"MGH56"	"Stroma"	"13"
"MGH56_Tumor_0"	"MGH56"	"Tumor"	"0"
"MGH56_Tumor_2"	"MGH56"	"Tumor"	"2"
"MGH56_Tumor_5"	"MGH56"	"Tumor"	"5"
"MGH56_Tumor_7"	"MGH56"	"Tumor"	"7"
"MGH56_Tumor_12"	"MGH56"	"Tumor"	"12"
"MGH56_Tumor_15"	"MGH56"	"Tumor"	"15"
"MGH57_Myeloid_2"	"MGH57"	"Myeloid"	"2"
"MGH57_Tumor_5"	"MGH57"	"Tumor"	"5"
"MGH57_Tumor_11"	"MGH57"	"Tumor"	"11"
"MGH57_Tumor_12"	"MGH57"	"Tumor"	"12"
"MGH61_Myeloid_2"	"MGH61"	"Myeloid"	"2"
"MGH61_Myeloid_6"	"MGH61"	"Myeloid"	"6"
"MGH61_Myeloid_8"	"MGH61"	"Myeloid"	"8"
"MGH61_Stroma_13"	"MGH61"	"Stroma"	"13"
"MGH61_Tumor_0"	"MGH61"	"Tumor"	"0"
"MGH61_Tumor_1"	"MGH61"	"Tumor"	"1"
"MGH61_Tumor_2"	"MGH61"	"Tumor"	"2"
"MGH61_Tumor_3"	"MGH61"	"Tumor"	"3"
"MGH61_Tumor_4"	"MGH61"	"Tumor"	"4"
"MGH61_Tumor_5"	"MGH61"	"Tumor"	"5"
"MGH61_Tumor_6"	"MGH61"	"Tumor"	"6"
"MGH61_Tumor_7"	"MGH61"	"Tumor"	"7"
"MGH61_Tumor_9"	"MGH61"	"Tumor"	"9"
"MGH61_Tumor_12"	"MGH61"	"Tumor"	"12"
"MGH61_Tumor_15"	"MGH61"	"Tumor"	"15"
"MGH64_Myeloid_6"	"MGH64"	"Myeloid"	"6"
"MGH64_Stroma_7"	"MGH64"	"Stroma"	"7"
"MGH64_Stroma_10"	"MGH64"	"Stroma"	"10"
"MGH64_Stroma_13"	"MGH64"	"Stroma"	"13"
"MGH64_Tumor_3"	"MGH64"	"Tumor"	"3"
"MGH64_Tumor_4"	"MGH64"	"Tumor"	"4"
"MGH64_Tumor_5"	"MGH64"	"Tumor"	"5"
"MGH64_Tumor_7"	"MGH64"	"Tumor"	"7"
"MGH64_Tumor_9"	"MGH64"	"Tumor"	"9"
"MGH64_Tumor_12"	"MGH64"	"Tumor"	"12"
"MGH64.P1.A02_Tumor_3"	"MGH64.P1.A02"	"Tumor"	"3"
"MGH64.P1.A03_Tumor_3"	"MGH64.P1.A03"	"Tumor"	"3"
"MGH64.P1.A04_Tumor_7"	"MGH64.P1.A04"	"Tumor"	"7"
"MGH64.P1.A05_Tumor_3"	"MGH64.P1.A05"	"Tumor"	"3"
"MGH64.P1.A06_Tumor_3"	"MGH64.P1.A06"	"Tumor"	"3"
"MGH64.P1.A07_Tumor_3"	"MGH64.P1.A07"	"Tumor"	"3"
"MGH64.P1.A08_Tumor_3"	"MGH64.P1.A08"	"Tumor"	"3"
"MGH64.P1.A09_Tumor_3"	"MGH64.P1.A09"	"Tumor"	"3"
"MGH64.P1.A10_Tumor_3"	"MGH64.P1.A10"	"Tumor"	"3"
"MGH64.P1.A11_Tumor_3"	"MGH64.P1.A11"	"Tumor"	"3"
"MGH64.P1.B01_Tumor_3"	"MGH64.P1.B01"	"Tumor"	"3"
"MGH64.P1.B03_Tumor_3"	"MGH64.P1.B03"	"Tumor"	"3"
