"geo_accession"	"tissue"	"disease state"	"title"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"molecule_ch1"	"extract_protocol_ch1"	"label_ch1"	"label_protocol_ch1"	"taxid_ch1"	"hyb_protocol"	"scan_protocol"	"description"	"data_processing"	"platform_id"	"contact_name"	"contact_email"	"contact_department"	"contact_institute"	"contact_address"	"contact_city"	"contact_zip/postal_code"	"contact_country"	"supplementary_file"	"data_row_count"	"disease state:ch1"	"tissue:ch1"
"GSM5906195"	"penis"	"Normal"	"N1.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906195/suppl/GSM5906195_N1.1_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906196"	"penis"	"Normal"	"N1.2"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906196/suppl/GSM5906196_N1.2_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906197"	"penis"	"Normal"	"N5.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906197/suppl/GSM5906197_N5.1_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906198"	"penis"	"Normal"	"N5.2"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906198/suppl/GSM5906198_N5.2_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906199"	"penis"	"Normal"	"N10.1"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906199/suppl/GSM5906199_N10.1_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906200"	"penis"	"Normal"	"N10.2"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Normal penile glans"	"Homo sapiens"	"tissue: penis"	"disease state: Normal"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile normal tissues"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906200/suppl/GSM5906200_N10.2_HTA-2_0.CEL.gz"	"67528"	"Normal"	"penis"
"GSM5906201"	"penis"	"Penile cancer"	"PA6T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906201/suppl/GSM5906201_PA6T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906202"	"penis"	"Penile cancer"	"PA7T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906202/suppl/GSM5906202_PA7T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906203"	"penis"	"Penile cancer"	"PA9T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906203/suppl/GSM5906203_PA9T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
"GSM5906204"	"penis"	"Penile cancer"	"PA13T"	"Public on Aug 16 2022"	"Feb 17 2022"	"Aug 16 2022"	"RNA"	"1"	"Penile cancer"	"Homo sapiens"	"tissue: penis"	"disease state: Penile cancer"	"total RNA"	"RNA was isolated from fresh-frozen samples using the RNeasy mini kit (Qiagen, Valencia, USA), according to the manufacturers’ instructions"	"biotin"	"Following the manufacturer protocol, we reverse-transcribed and amplified 2 ug of total RNA to cDNA using the GeneChip® Whole Transcript Labeling Assay(Affymetrix, Santa Clara, CA, USA)."	"9606"	"Hybridization of 200 μl of the hybridization cocktail was performed onto the GeneChip® Human Transcriptome Array 2.0 (Affymetrix, Santa Clara, CA, USA) at 45°C, 60 rpm for 18 hours in a hybridization oven."	"The scanning was performed using Affymetrix GeneChip Scanner 7000 (Affymetrix/ThermoFisher, USA)."	"Gene expression data from penile usual carcinoma"	"The data normalization was performed with Transcriptome Analysis Console (TAC, ThermoFisher, USA, v.4.0) using RMA."	"GPL17586"	"Silvia,Regina,Rogatto"	"Silvia.Regina.Rogatto@rsyd.dk"	"Clinical Genetics"	"University Hospital of Southern Denmark – Vejle"	"Beriderbakken 4"	"Vejle"	"7100"	"Denmark"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5906nnn/GSM5906204/suppl/GSM5906204_PA13T_HTA-2_0.cel.gz"	"67528"	"Penile cancer"	"penis"
