""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"CLUSTER"	8.80297065108711	3.19740298063637	7.68679980270101	6.13229326866345	3.64268003447503	4.51846478442841	10.1219176924868	3.37021480952601
"TSPAN6"	1	1.27202286755904	1.02220244700479	1.10331196459953	1.28281978006546	1.0147020000494	1.44966804182663	1.18611087614431
"DPM1"	1.2503239472567	1.51688240000968	1.30408148880098	1.52495462683663	1.57044022390936	1.29970619827491	1.44966804182663	1.67947963941887
"SCYL3"	1.01875136121762	1.053262123571	1.05511221275439	1.07789884134369	1.05597427658374	1.03803133262865	1.07436485632772	1.04738326704542
"C1ORF112"	1	1.03796908837217	1.04419341245728	1.02625586580147	1.03411636307461	1.0754554318233	1.01881503832228	1.03942833374605
"FGR"	1.31775050092097	1.00040510628282	1.20314133429556	1	1.00080545916369	1.19265455085604	1.09259917994258	1.00177248760041
"FUCA2"	1.2503239472567	1.07984041664402	1.24395138030419	1.22673188475871	1.27463119260525	1.48323679198226	1.23397670144483	1.39413392547959
"GCLC"	1.23321612557044	1.12350715884764	1.09829883846091	1.17805395916684	1.05911785133071	1.14863471163975	1.01881503832228	1.05679515735625
"NFYA"	1	1.02377880466725	1	1.07789884134369	1.02696184998397	1.03512793573272	1.01881503832228	1.02469023679904
"STPG1"	1.01875136121762	1.0008101399569	1.01112820232173	1.05221763352791	1.0165884005735	1.02347805892595	1.0374774866045	1.02869623522753
"NIPAL3"	1.07411605506518	1.04652155656367	1.09829883846091	1.4135889734412	1.0817868128744	1.1375131750011	1.01881503832228	1.0696148095527
"LAS1L"	1.05580445098926	1.11522073271131	1.13020078765629	1.07789884134369	1.12089702434891	1.08400976598015	1.01881503832228	1.13272719334194
"ENPP4"	1.11033200844589	1.00121510107763	1.07680138183895	1.2025019746915	1	1.04382737336816	1.11069976356626	1.0065765456504
"ANKIB1"	1.19868048399362	1.30749731283834	1.13020078765629	1.12846853151883	1.23357682239861	1.11231156087585	1.11069976356626	1.23591521958422
"CYP51A1"	1	1.00202480588026	1	1	1.0040244314439	1.00294802018497	1	1.00682910943678
"KRIT1"	1.03735115003241	1.38720847399134	1.11961159828863	1.22673188475871	1.35902899801548	1.15970877965794	1.40121988762143	1.36491585485639
"RAD52"	1.01875136121762	1.01514223745316	1.01112820232173	1	1.01418787561676	1.02055642009957	1.01881503832228	1.02293543155641
"BAD"	1.18124684721476	1.54289375607632	1.41126402777071	1.36794878383046	1.55611786955817	1.26269751790573	1.49740963338726	1.62818699702234
"LAP3"	2.01031000969756	1.3712200508002	1.39205061690539	2.82197363817798	1.44436252690728	1.94816575197156	1.51317385337751	2.10797573176304
"CD99"	2.48417355815024	1.6076665909645	2.62568702990375	2.40773322646914	3.20853119350369	2.68514327202919	3.34771214708798	5.50252452837318
"HS3ST1"	1.09229048337548	1.25686821538516	1.21340063662743	1.02625586580147	1.11015142443334	1.21710150981916	1.0374774866045	1
"HECW1"	1	1.03178396034186	1	1	1.01018139957603	1	1	1.00632395380657
"MAD1L1"	1.09229048337548	1.18265851691834	1.25406118737479	1.02625586580147	1.11885376967818	1.10385481757768	1.12867068761362	1.10185654778805
"LASP1"	1.30103961247357	1.13272528547124	1.38239980811517	1.15337922300414	1.18220107590879	1.28390320999836	1.21670904246344	1.16512435527555
"SNX11"	1.07411605506518	1.06963750825404	1.07680138183895	1	1.07347346913566	1.08969608331135	1.12867068761362	1.06936892075832
"TMEM176A"	1.86988950173819	1.03358132987752	1.29414620082835	1	1.20306572474415	1.23865098324501	1.01881503832228	1.09018119629581
"M6PR"	1.64994751810445	1.32274948033811	1.61559172001526	1.4361654160565	1.37679467568487	1.65011403848843	1.18184317863834	1.24075444515954
"KLHL13"	1.01875136121762	1.1662457312952	1	1	1.09136400559559	1.00589220926999	1	1.06321353708566
"CYP26B1"	1	1.00627101587079	1	1	1.00161063145588	1	1	1
"ICA1"	1.07411605506518	1.09487072807733	1.07680138183895	1.05221763352791	1.0929135553905	1.17623273240553	1.46565824968577	1.11830356830383
"DBNDD1"	1	1.07846944038276	1.01112820232173	1.05221763352791	1.1173202440679	1.01763107384719	1	1.05975962464123
"ALS2"	1.03735115003241	1.06511092855737	1.19284315650445	1.17805395916684	1.07113020629599	1.02055642009957	1.07436485632772	1.05407449149605
"CASP10"	1.11033200844589	1	1.02220244700479	1.05221763352791	1.00107388178088	1.06687086859881	1.26819579832315	1.0010130201976
"CFLAR"	1.48006068539029	1.13004010606266	1.30408148880098	2.05597612110697	1.28858605039664	1.37748882365046	2.04096160529527	1.35385992423504
"TFPI"	1	1.24512726352933	1.03322383099053	1.07789884134369	1.2731837314427	1.17073623011007	1.43359936718351	2.15436525414316
"NDUFAF7"	1.01875136121762	1.11019709316439	1.03322383099053	1.05221763352791	1.10141877430136	1.09536929486467	1.07436485632772	1.09894286305864
"RBM5"	1.19868048399362	1.35656490876785	1.19284315650445	1.22673188475871	1.37142898174272	1.21439597156628	1.43359936718351	1.33608673653336
"SLC7A2"	1	1.01896239035708	1	1.02625586580147	1.00723884146239	1	1	1.0010130201976
"ARF5"	1.35089457080717	1.59384991591026	1.42082738326908	1.2981910103037	1.68046402138598	1.24401240527596	1.19933220223607	1.43950926177568
"SARM1"	1	1.15790600407423	1.02220244700479	1	1.06042645532987	1.01763107384719	1.01881503832228	1.04415481204922
"POLDIP2"	1.26732876059361	1.70344225278975	1.26413504164515	1.22673188475871	1.44595952207259	1.21439597156628	1.30201088788875	1.44489438316095
"PLXND1"	1.28423315635868	1.00748276175361	1.20314133429556	1.12846853151883	1.0192527109401	1.20897687066469	1.56003780602991	1.01816565355017
"AK2"	1.58910648107653	1.68097389162246	1.51495457410271	2.05597612110697	1.80210177128577	1.48075834134081	1.36850569452915	1.70156503512557
"CD38"	1	1.00101262958297	1.4398692151468	1	1.0026837490186	1.01763107384719	1	1.00151936012914
"FKBP4"	1.1282446733515	1.40485890491274	1.22362168092773	1.36794878383046	1.5208340964491	1.20626328539799	1.19933220223607	1.50524984620702
"KDM1A"	1.09229048337548	1.45260043828118	1.03322383099053	1.05221763352791	1.17270865705726	1.08116165213642	1.14651581774123	1.16985491957136
"RBM6"	1.09229048337548	1.39525953934098	1.32385234704028	1.3216241493946	1.40971988680816	1.26269751790573	1.46565824968577	1.3776912834553
"CAMKK1"	1.01875136121762	1.04135401214477	1.04419341245728	1	1.01872009571851	1.02055642009957	1	1.00379648928129
"RECQL"	1.16369854964191	1.1186927750453	1.20314133429556	1.10331196459953	1.15462896996891	1.25470470242438	1.12867068761362	1.17410519807652
"VPS50"	1.01875136121762	1.0796446100859	1.03322383099053	1	1.07581446974676	1.06400255075905	1.01881503832228	1.07477271093897
"HSPB6"	1	1.03497832784777	1.01112820232173	1.07789884134369	1.1586574540546	1.0147020000494	1	1.18681541464762
"ARHGAP33"	1	1.15315566150456	1	1.02625586580147	1.08152744966121	1.02055642009957	1	1.05110294228809
"NDUFAB1"	1.76876037008368	2.83067047643409	1.80903985212114	2.51408734803951	2.48080895859907	1.93717288451906	1.98552022582203	2.67696471385924
"PDK4"	3.12844347941586	1.02417971945136	1.29414620082835	1.25075174294259	1.02749256939363	1.81208850757628	1.23397670144483	1.04663863038321
"ZMYND10"	1	1.0080883927847	1.01112820232173	1	1.01098325684634	1.01176917839321	1	1.02594285497412
"ARX"	1	1.00101262958297	1.01112820232173	1	1.02138194121142	1.00589220926999	1	1.0113704748394
"SLC25A13"	1.01875136121762	1.13521614554695	1.07680138183895	1.02625586580147	1.12548833216003	1.08400976598015	1.07436485632772	1.13464419210358
"ST7"	1.07411605506518	1.21964218494756	1.11961159828863	1.15337922300414	1.14199960183402	1.04093113889517	1.09259917994258	1.09042499617517
"CDC27"	1.16369854964191	1.29812765258538	1.16170892444281	1.22673188475871	1.19761675186899	1.2332792679983	1.26819579832315	1.18728500413457
"SLC4A1"	1	1.00060763219248	1	1	1	1.00294802018497	1.01881503832228	1.00126620433271
"HCCS"	1.19868048399362	1.11965638460268	1.05511221275439	1.05221763352791	1.17595987897756	1.18719179443593	1.16423882068994	1.15635030648572
"DVL2"	1.09229048337548	1.27911616173753	1.05511221275439	1.07789884134369	1.21319160416198	1.06973577661682	1.05599248002206	1.17339729183333
"UPF1"	1.05580445098926	1.05464751592148	1.03322383099053	1.05221763352791	1.07659430217088	1.08969608331135	1.07436485632772	1.1303289231415
"SKAP2"	1.61965348000179	1.00323882031465	1.52422377164915	1.25075174294259	1.07034861435299	1.92615233141324	1.14651581774123	1.33586391091438
"SLC25A5"	2.53429370548437	3.45807523612358	2.78367841899506	2.28095774680647	2.56105940060103	3.12318460700077	2.7476016465797	3.19827987051635
"MCUB"	1.51157006023859	1.07552903223266	1.2338050675219	1.69605472556776	1.69516051879085	1.48323679198226	1.07436485632772	1.65503620302072
"HOXA11"	1	1.00182240684219	1	1	1.0059000566314	1	1	1.00935320705415
"POLR2J"	1.89833855757481	3.17229373614249	2.05089095031791	1.83970690455562	2.86694777412616	1.87732527788704	1.82935935736193	2.58901041836734
"DHX33"	1	1.34255064230916	1	1.05221763352791	1.12574316154946	1.06113080574598	1.0374774866045	1.10428201519502
"THSD7A"	1.01875136121762	1.54356243992412	1.02220244700479	1	1.19066577751597	1.02347805892595	1.33544153578428	1.4315228694753
"LIG3"	1.01875136121762	1.1455370331927	1.06598121821236	1.05221763352791	1.07919194004254	1.03803133262865	1.09259917994258	1.08969352411046
"RPAP3"	1.09229048337548	1.11830722833105	1.02220244700479	1.05221763352791	1.12115231522456	1.10385481757768	1.07436485632772	1.12408284560828
"ACSM3"	1.01875136121762	1.0008101399569	1.02220244700479	1	1.00026851828939	1.00589220926999	1	1.00050656685731
"AC004381.6"	1	1.14458312859224	1.03322383099053	1	1.02483775670971	1.03512793573272	1.0374774866045	1.02994669348287
"CIAPIN1"	1.07411605506518	1.38475404375945	1.15124870291457	1.15337922300414	1.33076635256017	1.1066769092036	1.33544153578428	1.2830320131787
"SPPL2B"	1	1.12312234457583	1.07680138183895	1.02625586580147	1.18743242918679	1.06973577661682	1.11069976356626	1.22713712339346
