""	"GSE141982-GSM4217362-SF12199_Myeloid"	"GSE141982-GSM4217362-SF12199_Stroma"	"GSE141982-GSM4217362-SF12199_Tumor"	"GSE141982-GSM4217363-Mixing_Myeloid"	"GSE141982-GSM4217363-Mixing_Tumor"	"GSE141982-GSM4217364-SF10432_Tumor"
"RP11-34P13.7"	1.00648894627799	1.00653777242144	1.00977765240984	1	1.00647595703539	1
"FO538757.2"	1.16200988900002	1.20892626619008	1.33366910811815	1.88551113641809	1.88008229367462	2.28175023371705
"AP006222.2"	1.18380894908312	1.17154711496022	1.18578227033149	1.0245672202814	1.0404055912636	1
"RP4-669L17.10"	1.01295942491089	1.02711812537429	1.00279791825506	1.01231660345899	1.05854296818347	1
"RP5-857K21.4"	1.44529430739705	1.67525669184657	1.73249782687402	1.31290753153971	1.34645561748664	2.80635343352764
"RP5-857K21.2"	1.00259780902125	1	1	1	1	1
"RP11-206L10.9"	1.10172331287273	1.13466432862141	1.26384320085486	1.25764937657262	1.25742424780934	1
"FAM41C"	1.00778451225067	1.00218135448674	1.00419558188275	1	1	1
"RP11-54O7.16"	1	1.00109094026639	1.03886316842267	1.06093766462863	1.10418512804814	1
"RP11-54O7.3"	1.00259780902125	1.00109094026639	1.00139939171865	1.01231660345899	1.02396146598171	1
"SAMD11"	1	1	1.01534609557155	1.01231660345899	1.07833653106467	1
"NOC2L"	1.08548398727924	1.10977863735791	1.19485371450989	1.18988336910337	1.20674149169421	1.69650651360854
"KLHL17"	1.00389559646423	1.01197158709047	1.03059018673633	1	1.04858459248264	1
"RP11-54O7.17"	1	1.00218135448674	1.00419558188275	1	1.02762576668113	1
"HES4"	1.02713055789197	1.20892626619008	1.27643534628093	1.20129442809423	1.35780453351874	1
"ISG15"	1.18501478290797	1.1827143370992	1.10135442053683	1.14374349220445	1.22119584222079	1
"AGRN"	1.01812266031303	1.17865895105865	1.1160648925205	1.07293857303692	1.29650156150369	1
"C1orf159"	1.05648566028486	1.21093211592932	1.15049957151547	1.20129442809423	1.32771837334476	1
"LINC01342"	1.00129927747331	1.00109094026639	1.00279791825506	1	1	1
"TTLL10"	1.00129927747331	1.00109094026639	1.00419558188275	1	1	1
"TNFRSF18"	1.00259780902125	1.00218135448674	1	1	1.00370281224176	1
"TNFRSF4"	1.00778451225067	1.0108858592109	1	1	1	1
"SDF4"	1.2763079273564	1.31137628551854	1.2701461817382	1.10859134277501	1.13064614863194	1
"B3GALT6"	1.09299233059461	1.06668228449785	1.1439132808807	1.01231660345899	1.01661538234762	1
"FAM132A"	1.00129927747331	1.00218135448674	1	1.01231660345899	1.01937290920513	1
"UBE2J2"	1.15714108860707	1.16543601098201	1.21162038811914	1.32383528361605	1.30639512006172	1
"RP5-902P8.10"	1.00129927747331	1.01414149759104	1.01812525091795	1.06093766462863	1.08728052947079	1
"SCNN1D"	1.00907934132232	1.02711812537429	1.03748636822744	1.04887635582942	1.15596704672859	1
"ACAP3"	1.05140657788323	1.37837218035151	1.63693158951711	1.51426511515079	2.44355758989297	1.69650651360854
"PUSL1"	1.01554249526236	1.03357926585302	1.06759252231523	1.01231660345899	1.00832284223168	1
"CPSF3L"	1.10918269998028	1.1766289406178	1.20904761169479	1.29093013755091	1.36911161057791	1.69650651360854
"CPTP"	1.03482386312853	1.04430831086847	1.07573803144539	1.01231660345899	1.01016823107769	1
"DVL1"	1.0552169047626	1.15317100411088	1.10805171417653	1.0967642126882	1.12097591975125	1
"MXRA8"	1.00129927747331	1.02603952019904	1.06078352665926	1.04887635582942	1.03128429216124	1
"AURKAIP1"	1.31685534770572	1.29973971460842	1.52724128504675	1.06093766462863	1.06125168988207	1
"CCNL2"	1.13019830106293	1.21694086451634	1.2902235028129	1.73352630493911	1.93092100781808	2.28175023371705
"MRPL20"	1.42313657023959	1.41601349436149	1.55267958667608	1.27987918855636	1.23978986642667	1
"RP4-758J18.13"	1	1.00653777242144	1.00279791825506	1	1.02120942700961	1
"ANKRD65"	1.01166679588203	1.17256425972113	1.03610875871358	1	1.02029135103565	1
"TMEM88B"	1	1.00653777242144	1	1	1	1
"RP4-758J18.10"	1	1.00327124373965	1.00139939171865	1	1	1
"VWA1"	1.03354340773206	2.26879914289098	1.04161434893261	1	1.0073995870004	1
"ATAD3C"	1.01554249526236	1.05711912356233	1.02505850162561	1.01231660345899	1.03493708098933	1
"ATAD3B"	1.04249193099132	1.06774251256698	1.07709296005473	1.16691439547401	1.25909799259126	1.69650651360854
"ATAD3A"	1.03738267249749	1.06349879644294	1.1160648925205	1.13207990498338	1.14202761820333	1.69650651360854
"TMEM240"	1	1.0108858592109	1.01951356964101	1.01231660345899	1.01201212872307	1
"SSU72"	1.38848646370802	1.2909819414607	1.38256684678697	1.23524422950165	1.19734772494945	1
"RP5-832C2.5"	1.00259780902125	1.00871285297201	1.00977765240984	1	1.01477519037814	1
"C1orf233"	1.03226224967873	1.00436060909983	1.00838341789127	1.0245672202814	1.0073995870004	1
"RP11-345P4.9"	1.01295942491089	1.08359051393869	1.15312941583796	1.01231660345899	1.01109036597983	1
"MIB2"	1.03993869081183	1.11913945069208	1.1160648925205	1.16691439547401	1.24147409869997	1
"MMP23B"	1.09923188117707	1.0709204051543	1.19743995539709	1.21265770159277	1.22458585384461	1.69650651360854
"CDK11B"	1.14982082904269	1.15828840853228	1.25499556784967	1.55513300851929	1.39959642829333	1.69650651360854
"SLC35E2B"	1.04631661026116	1.10351863778612	1.13598749920882	1.27987918855636	1.31297243072485	1.69650651360854
"CDK11A"	1.08548398727924	1.0846433912883	1.12803716111795	1.35638223200319	1.33913748252161	1
"SLC35E2"	1.07417813504782	1.1284657296728	1.21290586964877	1.24646908930461	1.26244253143841	1.69650651360854
"NADK"	1.10918269998028	1.10247377681585	1.17276947729927	1.18988336910337	1.16723825200115	1
"GNB1"	2.26275118075761	2.36583363832537	2.18294318878109	2.9181431603594	2.42668893973155	1
"RP1-140A9.1"	1	1.00327124373965	1.00139939171865	1	1.00277767683567	1
"CFAP74"	1.05394747354608	1.00762557251297	1.00419558188275	1.04887635582942	1.03219802568285	1
"GABRD"	1	1.00109094026639	1.00279791825506	1.01231660345899	1.04858459248264	1
"PRKCZ"	1.04504240585056	1.3963078043098	1.06895201356155	1.25764937657262	1.49633186989458	1
"RP5-892K4.1"	1	1.00762557251297	1.00279791825506	1	1.00462757030768	1
"RP11-181G12.2"	1	1.00218135448674	1.00419558188275	1	1.00647595703539	1
"FAAP20"	1.23518193226706	1.1490698319393	1.22828496693062	1.14374349220445	1.11656814219107	1.69650651360854
"RP11-181G12.4"	1.00129927747331	1.00436060909983	1.00698832945351	1.0245672202814	1.00924572337588	1
"SKI"	1.77690961074728	1.32682101305429	1.4828537890082	3.10763256959108	1.74261671277879	1
"MORN1"	1.01166679588203	1.01847516656323	1.07709296005473	1.10859134277501	1.22712563832734	1
"RER1"	1.33977843122473	1.40382916410816	1.34842063694219	1.17842365687943	1.11038427695024	1
"PEX10"	1.04759012810013	1.07197877503549	1.13995343943531	1.03675333031978	1.03767293087784	1
"PLCH2"	1.00129927747331	1.20591472559955	1.01534609557155	1	1.08728052947079	1
"PANK4"	1.03226224967873	1.04858627460642	1.07166870291792	1.0245672202814	1.02487808470975	1
"HES5"	1.00519264161487	1.00327124373965	1.1753771318616	1.16691439547401	1.1183321759804	1
"RP3-395M20.12"	1.00907934132232	1	1	1	1.00832284223168	1
"RP3-395M20.8"	1.01554249526236	1.00327124373965	1.00139939171865	1.0245672202814	1.00277767683567	1
"TNFRSF14"	1.16808322131119	1.04965455815517	1.04984867518782	1.0967642126882	1.01201212872307	1
"RP3-395M20.9"	1.00129927747331	1	1.00139939171865	1	1	1
"FAM213B"	1.02841454309225	1.0238808022819	1.05121828140769	1.01231660345899	1.01385454028629	1
"TTC34"	1.00389559646423	1	1.02505850162561	1.03675333031978	1.04404420424372	1
"LINC00982"	1	1.00109094026639	1.03473033785109	1	1.01753492548565	1
"PRDM16"	1.00259780902125	1.03357926585302	1.22572772544903	1.22397403038808	1.54022760311526	1
"ARHGEF16"	1	1.0108858592109	1.00139939171865	1.01231660345899	1.00370281224176	1
"MEGF6"	1.00129927747331	1.01522568228938	1.01256356856555	1.01231660345899	1.02120942700961	1
"TPRG1L"	1.07417813504782	1.12536077376161	1.04710708646294	1.0245672202814	1.03858417128037	1
"WRAP73"	1.05775374164198	1.08885038635001	1.09060106131533	1.12036287475752	1.14202761820333	1
"TP73"	1.00129927747331	1.00218135448674	1.01812525091795	1.0245672202814	1.08549434213799	1
"TP73-AS1"	1.03482386312853	1.087799313088	1.07844713454016	1.01231660345899	1.01016823107769	1
"CCDC27"	1	1.00109094026639	1.00279791825506	1	1.00370281224176	1
"SMIM1"	1.01554249526236	1.01522568228938	1.00139939171865	1	1	1
"LRRC47"	1.06913638573451	1.1695116515251	1.17146468719225	1.08488034860994	1.14290103313073	1
"CEP104"	1.08673697127127	1.33163117027374	1.18448384363009	1.20129442809423	1.29650156150369	1
"DFFB"	1.03610361750647	1.07831931420773	1.04710708646294	1.13207990498338	1.09174032746193	1
"C1orf174"	1.07795258140289	1.06137412573425	1.08520675730126	1.04887635582942	1.02854093796363	1
"LINC01134"	1.00389559646423	1.00544945163811	1	1	1.01109036597983	1
"AJAP1"	1.00648894627799	1.17358101403072	1.03335110360096	1.25764937657262	1.70549058528215	1
"RP11-154H17.1"	1.00129927747331	1.00436060909983	1.00279791825506	1	1.00832284223168	1
"NPHP4"	1.07417813504782	1.09828993940355	1.16231305714785	1.31290753153971	1.29319628008197	1.69650651360854
"KCNAB2"	1.10669871173527	1.03035093768233	1.05532237078803	1.29093013755091	1.23641835878956	1
"CHD5"	1.00778451225067	1.00436060909983	1.00838341789127	1.01231660345899	1.30886332586372	1
"RPL22"	1.79199575672901	1.33355307990896	1.64255453200859	1.06093766462863	1.1183321759804	1
"RNF207"	1	1.00218135448674	1	1.03675333031978	1.04404420424372	1
"ICMT"	1.09049209347294	1.0846433912883	1.07166870291792	1.01231660345899	1.0221271377469	1
"GPR153"	1.01037343527472	1.00218135448674	1.00559238486473	1.0245672202814	1.05130465125632	1
"ACOT7"	1.03354340773206	1.30653329170398	1.1883772377105	1.10859134277501	1.42345712714808	1.69650651360854
"RP1-202O8.3"	1.00259780902125	1.00327124373965	1.00139939171865	1	1.00462757030768	1
"ESPN"	1.00129927747331	1.00109094026639	1.00139939171865	1.01231660345899	1.00555195168802	1
"TNFRSF25"	1.00907934132232	1.00979961485408	1.01117103523079	1.21265770159277	1.06034912306594	1
"PLEKHG5"	1.02456045295893	1.01197158709047	1.03473033785109	1.42046447052973	1.07474973120086	1
"NOL9"	1.09299233059461	1.14084797282257	1.19743995539709	1.29093013755091	1.36346326092992	1
"TAS1R1"	1.00259780902125	1.00871285297201	1.01256356856555	1.0245672202814	1.01477519037814	1
"ZBTB48"	1.0602878879467	1.04751750903262	1.07166870291792	1.12036287475752	1.11480287377012	1
"KLHL21"	1.06661156169008	1.20992937507398	1.1160648925205	1.0967642126882	1.11480287377012	1
"PHF13"	1.03226224967873	1.1284657296728	1.09598357942881	1.03675333031978	1.04586140649472	1
"THAP3"	1.04631661026116	1.07515111380253	1.07844713454016	1.06093766462863	1.07115762426314	1
