GeneSymbol	MC38_KO1	MC38_KO2	MC38_KO3	MC38_WT1	MC38_WT2	MC38_WT3
Mpeg1	12.03995821	11.99119472	12.15668137	15.30216582	15.3509293	15.18544265
Cnbd2	11.52484745	11.49116792	11.45469165	8.088904162	8.122583694	8.159059959
Ifi213	8.913473749	8.920029376	8.816163298	12.82975338	12.82319776	12.92706384
Ctse	9.35974426	9.202763022	9.325736167	11.77623726	11.9332185	11.81024535
Vsir	11.63484996	11.54793409	11.62875791	13.47317853	13.5600944	13.47927058
Gm13394	14.52824531	14.54982567	14.59269231	13.00460325	12.98302289	12.94015626
Ppfia4	10.08025979	10.11053038	10.0771303	7.34163076	7.311360167	7.344760246
Eno2	10.13936264	10.17786167	10.2354375	7.340050413	7.301551379	7.243975555
Ifi202b	12.66434821	12.71775856	12.41683639	7.7048742	7.651463852	7.952386023
Ifi208	10.52276663	10.41284003	10.51573813	12.12855239	12.23847898	12.13558089
Slamf7	10.33271905	10.29267335	10.25649322	11.92942318	11.96946888	12.00564901
H2-Q7	14.26713025	14.26993782	14.27262925	13.06144596	13.05863839	13.05594696
Npl	7.836237501	7.701477759	7.610742407	10.12180746	10.2565672	10.34730255
Cep85	13.54460083	13.38796996	13.23589347	9.580858009	9.737488871	9.88956537
Ccl5	12.88125556	12.86357536	12.87947955	11.58789509	11.60557529	11.5896711
Btg2	14.2420448	14.23435106	14.22686264	13.10419517	13.1118889	13.11937732
Chil1	7.731616105	7.50142165	7.635716645	13.37024305	13.60043751	13.46614251
Ifi206	10.35507026	10.15917975	10.15691869	13.03651156	13.23240208	13.23466313
F11r	9.605314256	9.571559564	9.693221632	11.3649631	11.39871779	11.27705572
Camk2b	9.467482059	9.45375204	9.610634064	7.184428693	7.198158713	7.041276689
Pltp	12.03683759	12.02209601	12.09375224	10.81708685	10.83182843	10.7601722
Spp1	12.83727377	12.81934108	12.85749241	13.87078062	13.88871332	13.85056199
H2-Eb1	15.86758292	15.90499169	15.89706488	15.05805993	15.02065117	15.02857797
Adam8	13.97885293	13.91138533	13.9331695	14.78190302	14.84937062	14.82758645
