GeneSymbol	VPK1	VPK2	VPK3	VPK4	WT1	WT2	WT3	WT4
Gm2606	13.14341918	13.05981227	13.31068681	13.05610414	11.25046483	10.94278954	11.06532178	11.17701092
Grap	9.696459836	8.885560814	9.231707354	9.682913254	6.54491493	6.321669805	6.66179317	6.542322328
Pttg1	10.18727299	10.11899557	10.08016614	9.964639012	8.654432866	8.595659229	8.904821899	8.770102694
Acod1	8.592074127	8.788793198	8.729329374	8.355715126	10.21837854	10.21512303	10.03970932	10.00669697
Vsir	11.69805282	11.75428622	12.09629649	12.49468622	13.90638725	13.92350394	14.27995962	13.99779759
Spp1	11.05872391	11.36133746	11.15341394	11.19909585	12.78521183	12.46678473	13.09153241	12.62130619
Gm16867	7.818051795	7.827217724	7.886896548	7.964570007	5.36790253	5.546825026	5.374072538	5.1329314
Pid1	8.744624809	8.75612205	8.707528516	9.004177717	10.01337867	10.00506169	9.746082495	9.964843444
NA	7.791766816	7.754910155	7.846930054	7.899479578	5.36790253	5.546825026	5.374072538	5.1329314
Ighg2b	8.056573185	7.393481812	7.71210912	7.211449505	5.705364699	5.546825026	5.1329314	5.1329314
Slc7a2	8.475016561	8.295588199	8.451428389	8.214212322	9.657246746	9.30014151	9.632586094	9.716713275
Olfml2b	8.747984875	8.739501005	8.601122736	8.514700093	9.558765849	9.950922094	9.893673855	9.832994599
Luzp1	8.774583699	8.491732019	8.640045937	8.62620165	9.916316756	9.612805094	9.632586094	9.733436784
Gm13394	15.21705238	15.25593073	15.45682675	14.9812757	13.80481577	14.1188212	14.10243683	13.98495774
Fcgr2b	12.90841352	12.82293942	13.23892343	13.31847473	11.69729153	11.51769257	11.90764396	11.7583578
Il1a	6.439444786	6.262473219	6.391580339	5.996441412	7.839076056	7.528809002	7.477611998	7.835041489
Cmpk2	9.725582661	9.774125587	9.866947925	10.10570461	8.751972914	8.890817316	8.672842181	8.836916872
Ifi202b	8.083701068	8.018276509	8.468864242	8.899936504	5.1329314	5.1329314	5.473561828	5.373678634
Bhlhe41	6.026878477	6.022700756	6.170979874	6.154639184	7.51449235	7.062445741	7.452555458	7.423893169
Mmp14	8.724296121	8.610069396	8.243908971	8.645922094	9.883878385	9.845283646	9.727777823	9.56797882
Igkc	9.227957759	8.695355269	10.00070988	9.31509805	6.625778023	6.230916838	6.526633544	6.902396786
