""	"Myeloid"	"Stroma"	"Tumor"
"A1BG"	1.11299016339512	1.13601147997851	1.08178525264135
"A1BG-AS1"	1.12681462787505	1.13085041785305	1.110292536765
"A1CF"	1.00550048659956	1.00816587956521	1.0077978693794
"A2M"	2.29722996360903	3.08904069328269	1.29452159114738
"A2M-AS1"	1.04104214106128	1.1070307615259	1.04335860976363
"A2ML1"	1.03454043394425	1.0297527084788	1.04571783482176
"A2MP1"	1.00503357794471	1.00748596646178	1.01610894713139
"A4GALT"	1.00259598030813	1.00057251229044	1.00257598955064
"A4GNT"	1.00280294717982	1.00415094569303	1.00319976836686
"AAAS"	1.47470661233443	1.35216383048865	1.68491926369958
"AACS"	1.24649518003272	1.22233724786904	1.29560012425159
"AACSP1"	1.0049358781927	1.00284569899	1.00623416183427
"AADAC"	1.00093965807175	1.00332570422524	1.0009552718062
"AADACL2"	1.0034128220853	1	1.00064449401643
"AADACL3"	1.00459193230258	1.00042275385295	1.00201589749104
"AADACL4"	1.00294298405492	1.00218262926465	1.00053003457132
"AADAT"	1.19207224097351	1.03878826804429	1.36737806751035
"AAED1"	1.19313171859127	1.31189028458692	1.08671194049579
"AAGAB"	1.26007007978	1.32341528870573	1.29520601541388
"AAK1"	1.36801849369375	1.38555678540302	1.354307569163
"AAMDC"	1.31845951530315	1.41699957318392	1.4085405648127
"AAMP"	2.16175731721187	2.17934694351772	2.20424829618585
"AANAT"	1.07134506127644	1.14089612917547	1.01871421131739
"AAR2"	1.45928723516642	1.44480356193079	1.55405855495627
"AARD"	1.14537009126882	1.12526548245433	1.14829442168759
"AARS"	1.73802992577831	1.66317469807667	1.88655014733101
"AARS2"	1.3084899062764	1.34538157593599	1.39680483242565
"AARSD1"	1.54013430070426	1.32535039881264	1.61032528776476
"AASDH"	1.29984910317439	1.15488858071968	1.36486329439398
"AASDHPPT"	1.85886405283851	1.46649512553175	2.07211379376958
"AASS"	1.69485413518444	1.44635452273779	1.81278835082081
"AATF"	1.75510309670319	1.64505398460292	1.79911720239485
"AATK"	1.10569367140971	1.43521443411007	1.16490113297857
"AATK-AS1"	1.00138599893074	1.00034311098049	1.00403119613436
"ABAT"	1.79555773918894	1.25575525172719	2.21062915259364
"ABCA1"	1.55926540461323	1.98578747713989	1.61473904948019
"ABCA10"	1.02058280952015	1.01154989158167	1.03366895089742
"ABCA11P"	1.26596386318857	1.14363752783412	1.33710447665565
"ABCA12"	1.0398448963159	1.0003645940197	1.00762724370157
"ABCA13"	1.01401856086537	1.01117704807816	1.0214023197696
"ABCA17P"	1.01670423904711	1.00233037877854	1.01982853649164
"ABCA2"	1.28383734059254	1.74225176582023	1.31664182421569
"ABCA3"	1.3734518703803	1.17038118236781	1.58042326624353
"ABCA4"	1.00189941581994	1.0011928001373	1.00185121163092
"ABCA5"	1.01387271024648	1.11615178877889	1.01921899951923
"ABCA6"	1.00074175359775	1.09170223159011	1.00725011699893
"ABCA7"	1.02653782088884	1.08976768898783	1.01579419755925
"ABCA8"	1.00071183976889	1.44162630305227	1.01352448586964
"ABCA9"	1.16254235644276	1.15522100469831	1.20899787765734
"ABCB1"	1.00145499174911	1.0148296382069	1.00924345475506
"ABCB10"	1.11431216005877	1.07511837937137	1.14907153421903
"ABCB11"	1.00160362590483	1.00015638811661	1.00122379272399
"ABCB4"	1.04984235745421	1.17460338129588	1.01727642761013
"ABCB5"	1.11080526506985	1.09742741815499	1.11425377296144
"ABCB6"	1.40310747833711	1.15471201822111	1.55936617364373
"ABCB7"	1.4972650634259	1.38427609830283	1.4591023375636
"ABCB8"	1.26957202743451	1.23724603366023	1.29836010528108
"ABCB9"	1.0392115637776	1.09497642333105	1.05273489621378
"ABCC1"	1.11925333524436	1.17854754910513	1.1163757447573
"ABCC10"	1.22366147067444	1.25941469097172	1.29135450529476
"ABCC11"	1.0008449996531	1.00607833194335	1.00321367391214
"ABCC12"	1.00103690893657	1	1.00081102780188
"ABCC13"	1.02618568487545	1.0196968044538	1.01995199131163
"ABCC2"	1.00787701949109	1.02701992345394	1.01198356586573
"ABCC3"	1.0114082864726	1.20556404553413	1.00501970913202
"ABCC4"	1.30044497980233	1.58931794206361	1.13430456529419
"ABCC5"	1.79393386497743	1.51804540529548	1.90551603183038
"ABCC5-AS1"	1.00673811418863	1.00235090042241	1.00699657725623
"ABCC6"	1.03416097771906	1.04619788392474	1.03030863268852
"ABCC6P1"	1.02181916881637	1.00572097634508	1.01583686101399
"ABCC6P2"	1.0361323636718	1.00459861644058	1.02488037335951
"ABCC8"	1.04565480881186	1.02941348159496	1.13981040881146
"ABCC9"	2.00638814620139	1.92855211102074	1.98378533172981
"ABCD1"	1.11155824940468	1.2692304336556	1.08331133392848
"ABCD2"	1.02720925074181	1.00312979299026	1.01469654275724
"ABCD3"	1.59548573530914	1.4553676824147	1.71199580423554
"ABCD4"	1.57202887798346	1.64065920859323	1.76450737025697
"ABCE1"	1.70369791199939	1.53865524756204	1.64411106994116
"ABCF1"	1.46155805779983	1.55643591639712	1.64573818003864
"ABCF2"	1.51438476391528	1.36093353564485	1.54345289202573
"ABCF3"	1.5202572763884	1.46861209015126	1.61784112254413
"ABCG1"	1.62722349739935	1.9621389455899	1.5979221553376
"ABCG2"	1.07655793992776	1.03908621851086	1.03028165807423
"ABCG4"	1.00495519307098	1.00124070735032	1.00159973641529
"ABCG5"	1.00443430394268	1.00041628843915	1.00404163130312
"ABCG8"	1.0081016190978	1.00220226872232	1.00199312079882
"ABHD1"	1.01152133174447	1.0222622776886	1.01722847150543
"ABHD10"	1.4658681560145	1.3448331122703	1.53901505203569
"ABHD11"	1.60292158553842	1.67528389842467	1.40989096671987
"ABHD12"	1.95423361041364	2.37745722792558	1.510060657848
"ABHD12B"	1.0290962545188	1.10093788300921	1.00678813250517
"ABHD13"	1.28100400318995	1.28596118578524	1.30778892940856
"ABHD14A"	1.305162647496	1.32822645913862	1.6522760227235
"ABHD14A-ACY1"	1.03888627721539	1.02316469593926	1.07970151404303
"ABHD14B"	1.20749856255478	1.53099587314957	1.12077784776469
"ABHD15"	1.25063491212286	1.3452473866077	1.17432066900956
"ABHD16A"	1.72994737889037	1.96263942978103	1.93704165071198
"ABHD16B"	1.06221101383049	1.09624158837422	1.05998583062921
"ABHD2"	1.79900556273365	1.61742151594086	1.67523446786499
"ABHD3"	1.28148886482268	1.59226355461673	1.16294452829386
"ABHD4"	1.42677799805563	1.34857703964478	1.49849023227651
"ABHD5"	1.18401590578837	1.45984794952787	1.29611286701944
"ABHD6"	1.25941807750648	1.41978459345104	1.58831679068884
"ABHD8"	1.08585218685163	1.11019037304989	1.0203719923624
"ABI1"	1.98629711598358	1.95354095830775	1.96805184248847
"ABI2"	1.76165484224854	1.46862358078081	1.98860447252331
"ABI3"	1.47320020755238	1.97043572812454	1.09613372648462
"ABI3BP"	1.00589733645497	1.01423759820342	1.03211101056755
"ABL1"	1.42310933889107	1.21430928268156	1.43472446787556
"ABL2"	1.5497567572263	1.96659710085083	1.47718761761524
"ABLIM1"	1.47499628540523	1.03799101422733	1.38919324725769
"ABLIM2"	1.04607662545887	1.07309806336149	1.14533531830119
"ABLIM3"	1.00405889484916	1.04152196438804	1.04998041770248
"ABO"	1.00484484267411	1.00425632192404	1.01644506954256
"ABP1"	1.00667129631182	1.00270828287326	1.00750670752935
"ABR"	1.65093648931332	1.66739708739776	1.57459361551704
"ABRA"	1.03002797101419	1.04010562741845	1.0125779451714
"ABRACL"	1.14722647136264	1.28518769919283	1.06333691515996
"ABT1"	1.2302273837661	1.35825950639218	1.41700351934835
"ABTB1"	1.25120660692575	1.59226060925518	1.13445763075466
"ABTB2"	1.03907760354019	1.13598937080135	1.03116389930195
"ACAA1"	1.84071243032397	2.17649983667333	1.80753456959304
"ACAA2"	1.37694093339897	1.77067271555251	1.1532258896635
"ACACA"	1.37292040977761	1.26769302542647	1.58443928153767
"ACACB"	1.01833357505744	1.05249634676653	1.02745215047225
"ACAD10"	1.34690177344145	1.19360832528811	1.36537482059608
"ACAD11"	1.28258788062129	1.38642735020999	1.42578980263671
"ACAD8"	1.5470861756639	1.3108935740141	1.56828562511748
"ACAD9"	1.32126870417849	1.40007151152683	1.43074233264622
"ACADL"	1.01140763480313	1.00078355620171	1.0084849059269
"ACADM"	1.65964073881324	1.5920010891725	1.72742043944636
"ACADS"	1.1074808748951	1.32759397626925	1.06710775637409
"ACADSB"	1.31573692246838	1.26763594251997	1.37654426976534
"ACADVL"	2.14606608447886	2.382050578947	1.97264896449787
"ACAN"	1.00829396586489	1.00845330465707	1.00235936381503
"ACAP1"	1.01386198470162	1.10346111475396	1.01017074345403
"ACAP2"	1.48532417706246	1.48878121852999	1.47297273711103
"ACAP3"	1.57993573876207	1.17150758049505	1.67691021522345
"ACAT1"	1.78496257432686	1.85147527889749	1.95868647412082
"ACAT2"	1.55365986752197	1.52785401275158	1.53014367029288
"ACBD3"	1.24285720042424	1.27948137800664	1.26088598199342
"ACBD4"	1.1838661043331	1.15630714791747	1.19401127865778
"ACBD5"	1.61859542577199	1.5995183494198	1.72073101334534
"ACBD6"	1.75790198870673	1.52428768645202	1.86457933062591
"ACBD7"	1.40364237012444	1.34316167967892	1.40189015029658
